Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21112b","Meat of buffalo, fresh or chilled (biological)","2025","2025","7021","Annual value","","124.09","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21111.01","Meat of cattle with the bone, fresh or chilled","2025","2025","7021","Annual value","","123.44","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21111.01b","Meat of cattle with the bone, fresh or chilled (biological)","2025","2025","7021","Annual value","","124.25","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21121","Meat of chickens, fresh or chilled","2025","2025","7021","Annual value","","123.6","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21121b","Meat of chickens, fresh or chilled (biological)","2025","2025","7021","Annual value","","135.87","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21122","Meat of ducks, fresh or chilled","2025","2025","7021","Annual value","","124.09","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21122b","Meat of ducks, fresh or chilled (biological)","2025","2025","7021","Annual value","","124.13","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21116","Meat of goat, fresh or chilled","2025","2025","7021","Annual value","","115.34","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21116b","Meat of goat, fresh or chilled (biological)","2025","2025","7021","Annual value","","123.55","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21115","Meat of sheep, fresh or chilled","2025","2025","7021","Annual value","","124","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","21115b","Meat of sheep, fresh or chilled (biological)","2025","2025","7021","Annual value","","124.1","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0118","Millet","2025","2025","7021","Annual value","","123.72","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01950.01","Natural rubber in primary forms","2025","2025","7021","Annual value","","123.17","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01253.02","Onions and shallots, dry (excluding dehydrated)","2025","2025","7021","Annual value","","179.05","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01323","Oranges","2025","2025","7021","Annual value","","109.19","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01241.90","Other beans, green","2025","2025","7021","Annual value","","127.63","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2025","2025","7021","Annual value","","115.05","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01929.90","Other fibre crops, raw, n.e.c.","2025","2025","7021","Annual value","","349.38","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01359.90","Other fruits, n.e.c.","2025","2025","7021","Annual value","","116.67","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01449.90","Other oil seeds, n.e.c.","2025","2025","7021","Annual value","","114.42","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01709.90","Other pulses n.e.c.","2025","2025","7021","Annual value","","120.93","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01699","Other stimulant, spice and aromatic crops, n.e.c.","2025","2025","7021","Annual value","","124.14","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01809","Other sugar crops n.e.c.","2025","2025","7021","Annual value","","143.71","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01319","Other tropical fruits, n.e.c.","2025","2025","7021","Annual value","","116.47","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01290.90","Other vegetables, fresh n.e.c.","2025","2025","7021","Annual value","","103.94","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01317","Papayas","2025","2025","7021","Annual value","","189.63","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01705","Peas, dry","2025","2025","7021","Annual value","","94.03","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01707","Pigeon peas, dry","2025","2025","7021","Annual value","","132.37","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01318","Pineapples","2025","2025","7021","Annual value","","139.03","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01321","Pomelos and grapefruits","2025","2025","7021","Annual value","","155.04","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01510","Potatoes","2025","2025","7021","Annual value","","162.68","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01235","Pumpkins, squash and gourds","2025","2025","7021","Annual value","","150.18","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01443","Rape or colza seed","2025","2025","7021","Annual value","","137.91","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","02212","Raw milk of buffalo","2025","2025","7021","Annual value","","124.07","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","02211","Raw milk of cattle","2025","2025","7021","Annual value","","110.45","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","02292","Raw milk of goats","2025","2025","7021","Annual value","","123.66","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","02291","Raw milk of sheep","2025","2025","7021","Annual value","","110.45","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0113","Rice","2025","2025","7021","Annual value","","186.53","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01921.01","Seed cotton, unginned","2025","2025","7021","Annual value","","94.59","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01444","Sesame seed","2025","2025","7021","Annual value","","211.96","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","02941","Shorn wool, greasy, including fleece-washed shorn wool","2025","2025","7021","Annual value","","124","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0114","Sorghum","2025","2025","7021","Annual value","","115.91","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0141","Soya beans","2025","2025","7021","Annual value","","126.1","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01215","Spinach","2025","2025","7021","Annual value","","127.88","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2025","2025","7021","Annual value","","143.47","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01530","Sweet potatoes","2025","2025","7021","Annual value","","153.38","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01324","Tangerines, mandarins, clementines","2025","2025","7021","Annual value","","115.14","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01620","Tea leaves","2025","2025","7021","Annual value","","123.64","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01234","Tomatoes","2025","2025","7021","Annual value","","139.32","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","01970","Unmanufactured tobacco","2025","2025","7021","Annual value","","134.04","E","Estimated value"
"PP","Producer Prices","050","Bangladesh","5539","Producer Price Index (2014-2016 = 100)","0111","Wheat","2025","2025","7021","Annual value","","125.9","E","Estimated value"
