education_id,area_id,year,indicator_id,sex,residence,value
62,6,2022,21,Male,All,68
63,6,2022,21,Female,All,65
64,6,2022,21,Hijra,All,44
65,6,2022,21,All,Rural,64
66,6,2022,21,Male,Rural,66
67,6,2022,21,Female,Rural,63
68,6,2022,21,Hijra,Rural,41
69,6,2022,21,All,Urban,75
70,6,2022,21,Male,Urban,77
71,6,2022,21,Female,Urban,73
72,6,2022,21,Hijra,Urban,48
73,7,2022,21,All,All,71
74,7,2022,21,Male,All,73
75,7,2022,21,Female,All,69
76,7,2022,21,Hijra,All,54
77,7,2022,21,All,Rural,69
78,7,2022,21,Male,Rural,71
79,7,2022,21,Female,Rural,67
80,7,2022,21,Hijra,Rural,50
81,7,2022,21,All,Urban,80
82,7,2022,21,Male,Urban,82
83,7,2022,21,Female,Urban,78
84,7,2022,21,Hijra,Urban,62
85,8,2022,21,All,All,70
86,8,2022,21,Male,All,73
87,8,2022,21,Female,All,67
88,8,2022,21,Hijra,All,49
89,8,2022,21,All,Rural,68
90,8,2022,21,Male,Rural,72
91,8,2022,21,Female,Rural,65
92,8,2022,21,Hijra,Rural,51
93,8,2022,21,All,Urban,77
94,8,2022,21,Male,Urban,79
95,8,2022,21,Female,Urban,74
96,8,2022,21,Hijra,Urban,47
97,9,2022,21,All,All,71
98,9,2022,21,Male,All,73
99,9,2022,21,Female,All,70
100,9,2022,21,Hijra,All,44
101,9,2022,21,All,Rural,70
102,9,2022,21,Male,Rural,71
103,9,2022,21,Female,Rural,68
104,9,2022,21,Hijra,Rural,45
105,9,2022,21,All,Urban,78
106,9,2022,21,Male,Urban,81
107,9,2022,21,Female,Urban,76
108,9,2022,21,Hijra,Urban,43
109,1,2011,21,All,All,51
110,1,2011,21,Male,All,54
111,1,2011,21,Female,All,49
112,1,2011,21,All,Rural,47
113,1,2011,21,Male,Rural,49
114,1,2011,21,Female,Rural,45
115,1,2011,21,All,Urban,66
116,1,2011,21,Male,Urban,69
117,1,2011,21,Female,Urban,63
118,2,2011,21,All,All,56
119,2,2011,21,Male,All,57
120,2,2011,21,Female,All,55
121,2,2011,21,All,Rural,54
122,2,2011,21,Male,Rural,54
123,2,2011,21,Female,Rural,53
124,2,2011,21,All,Urban,70
125,2,2011,21,Male,Urban,71
126,2,2011,21,Female,Urban,68
127,3,2011,21,All,All,52
128,3,2011,21,Male,All,53
129,3,2011,21,Female,All,51
130,3,2011,21,All,Rural,49
131,3,2011,21,Male,Rural,49
132,3,2011,21,Female,Rural,48
133,3,2011,21,All,Urban,63
134,3,2011,21,Male,Urban,65
135,3,2011,21,Female,Urban,61
136,4,2011,21,All,All,54
137,4,2011,21,Male,All,57
138,4,2011,21,Female,All,51
139,4,2011,21,All,Rural,46
140,4,2011,21,Male,Rural,48
141,4,2011,21,Female,Rural,44
142,4,2011,21,All,Urban,69
143,4,2011,21,Male,Urban,72
144,4,2011,21,Female,Urban,65
145,5,2011,21,All,All,53
146,5,2011,21,Male,All,55
147,5,2011,21,Female,All,50
148,5,2011,21,All,Rural,50
149,5,2011,21,Male,Rural,52
150,5,2011,21,Female,Rural,47
151,5,2011,21,All,Urban,66
152,5,2011,21,Male,Urban,69
153,5,2011,21,Female,Urban,63
154,7,2011,21,All,All,48
155,7,2011,21,Male,All,50
156,7,2011,21,Female,All,45
157,7,2011,21,All,Rural,44
158,7,2011,21,Male,Rural,46
159,7,2011,21,Female,Rural,42
160,7,2011,21,All,Urban,63
161,7,2011,21,Male,Urban,66
162,7,2011,21,Female,Urban,60
163,8,2011,21,All,All,47
164,8,2011,21,Male,All,50
165,8,2011,21,Female,All,43
166,8,2011,21,All,Rural,44
167,8,2011,21,Male,Rural,48
168,8,2011,21,Female,Rural,41
169,8,2011,21,All,Urban,62
170,8,2011,21,Male,Urban,65
171,8,2011,21,Female,Urban,58
172,9,2011,21,All,All,45
173,9,2011,21,Male,All,46
174,9,2011,21,Female,All,43
175,9,2011,21,All,Rural,42
176,9,2011,21,Male,Rural,43
177,9,2011,21,Female,Rural,40
178,9,2011,21,All,Urban,60
179,9,2011,21,Male,Urban,63
180,9,2011,21,Female,Urban,56
