import_id,product_id,origin_country,import_date,importer_name,quantity,total_value_usd,delivery_terms,mode_of_transport
21,30,IT,2024-03-07,Bangladesh Import & Supply Co. 02,11247,252295.85,CFR,Road
22,34,BE,2024-09-14,Bangladesh Import & Supply Co. 09,10765,59224.85,EXW,Sea
23,24,US,2024-01-04,Bangladesh Import & Supply Co. 06,20075,347035.32,CFR,Sea
24,48,GB,2024-08-30,Bangladesh Import & Supply Co. 10,31822,386480.92,EXW,Sea
25,24,PK,2025-11-02,Bangladesh Import & Supply Co. 28,3740,9046.28,EXW,Sea
26,6,NP,2024-08-20,Bangladesh Import & Supply Co. 08,5660,126001.84,EXW,Sea
27,12,VN,2025-10-19,Bangladesh Import & Supply Co. 21,1976,47071.58,CIF,Sea
28,7,CA,2024-06-09,Bangladesh Import & Supply Co. 39,12886,45212.93,FOB,Sea
29,21,NP,2024-12-19,Bangladesh Import & Supply Co. 05,31415,688102.89,CFR,Air
30,5,KR,2025-04-01,Bangladesh Import & Supply Co. 03,1849,34659.58,EXW,Sea
31,16,NZ,2024-11-14,Bangladesh Import & Supply Co. 02,22527,263140.37,CFR,Road
32,26,JP,2026-04-16,Bangladesh Import & Supply Co. 11,18820,370915.36,CFR,Sea
33,33,FR,2024-02-28,Bangladesh Import & Supply Co. 33,29083,545619.56,EXW,Sea
34,16,AE,2025-10-11,Bangladesh Import & Supply Co. 09,24127,112477.48,FOB,Air
35,16,CH,2025-03-08,Bangladesh Import & Supply Co. 29,1684,17927.07,EXW,Air
36,30,QA,2024-09-30,Bangladesh Import & Supply Co. 38,31576,330330.23,EXW,Sea
37,4,BR,2024-12-15,Bangladesh Import & Supply Co. 19,30895,720168.06,CFR,Air
38,9,SE,2025-07-20,Bangladesh Import & Supply Co. 22,13953,68224.45,CIF,Sea
39,3,CA,2024-04-08,Bangladesh Import & Supply Co. 25,16924,344225.12,CIF,Sea
40,5,ES,2024-02-23,Bangladesh Import & Supply Co. 03,32298,236108.57,FOB,Sea
41,22,AE,2024-07-20,Bangladesh Import & Supply Co. 02,31684,616220.88,CFR,Sea
42,1,JP,2026-08-16,Bangladesh Import & Supply Co. 05,32561,670837.1,FOB,Sea
43,41,ES,2025-09-25,Bangladesh Import & Supply Co. 16,21416,274672.2,CFR,Road
44,19,IT,2026-04-05,Bangladesh Import & Supply Co. 35,18178,252338.98,EXW,Air
45,27,IN,2026-06-26,Bangladesh Import & Supply Co. 35,18206,193870.94,FOB,Sea
46,15,VN,2024-12-28,Bangladesh Import & Supply Co. 38,11629,166994.36,FOB,Sea
47,52,SE,2024-12-01,Bangladesh Import & Supply Co. 06,24017,114014.63,CIF,Sea
48,28,PK,2024-11-04,Bangladesh Import & Supply Co. 15,6828,10985.88,CIF,
49,36,BR,2026-01-28,Bangladesh Import & Supply Co. 22,27255,448020.35,CFR,Sea
50,30,KR,2025-06-16,Bangladesh Import & Supply Co. 27,29799,327048.51,CIF,Sea
51,60,SG,2024-12-07,Bangladesh Import & Supply Co. 23,9613,22200.96,FOB,Sea
52,57,IT,2024-07-01,Bangladesh Import & Supply Co. 02,25906,552970.56,EXW,Sea
53,32,TH,2026-07-14,Bangladesh Import & Supply Co. 17,23731,424356.95,EXW,Road
54,41,CN,2025-03-03,Bangladesh Import & Supply Co. 37,28713,154480.17,CIF,Sea
55,26,KR,2024-04-19,Bangladesh Import & Supply Co. 08,23405,132941.97,EXW,Sea
56,20,AU,2024-11-23,Bangladesh Import & Supply Co. 28,31958,353439.12,CFR,Sea
57,44,NP,2024-12-02,Bangladesh Import & Supply Co. 33,1561,22143.18,EXW,Sea
58,32,SA,2024-10-23,Bangladesh Import & Supply Co. 37,8424,150110.87,EXW,Sea
59,60,BE,2025-07-20,Bangladesh Import & Supply Co. 02,30645,147160.91,EXW,Sea
60,50,JP,2025-11-05,Bangladesh Import & Supply Co. 24,6145,8456.17,FOB,Road
61,9,JP,2024-10-21,Bangladesh Import & Supply Co. 38,4023,27075.08,CFR,Road
62,15,ZA,2024-03-18,Bangladesh Import & Supply Co. 11,21998,67607.17,CIF,Air
63,42,IT,2026-07-18,Bangladesh Import & Supply Co. 02,21735,31859.02,EXW,Sea
64,55,FR,2026-03-06,Bangladesh Import & Supply Co. 01,4735,103597.02,CIF,Sea
65,29,SG,2026-05-26,Bangladesh Import & Supply Co. 09,16704,68471.64,EXW,Sea
66,43,MY,2025-06-09,Bangladesh Import & Supply Co. 03,24281,43764.9,EXW,Sea
67,3,SG,2026-07-09,Bangladesh Import & Supply Co. 04,20318,61231.68,EXW,Sea
68,12,MY,2024-11-21,Bangladesh Import & Supply Co. 28,17535,31672.35,CIF,Air
69,37,BR,2024-12-04,Bangladesh Import & Supply Co. 05,33498,509252.99,FOB,Sea
70,2,PK,2026-01-27,Bangladesh Import & Supply Co. 08,7085,141819.89,CIF,Road
71,43,PK,2024-09-05,Bangladesh Import & Supply Co. 29,25278,336193.45,CFR,Sea
72,32,BE,2026-07-20,Bangladesh Import & Supply Co. 34,14375,89361.42,CFR,Sea
73,45,AU,2026-04-14,Bangladesh Import & Supply Co. 12,5647,4685.37,CIF,Sea
74,48,QA,2026-08-27,Bangladesh Import & Supply Co. 16,34356,621016.51,CFR,Road
75,19,ZA,2026-01-31,Bangladesh Import & Supply Co. 35,12643,249760.33,EXW,Air
76,11,ES,2024-12-08,Bangladesh Import & Supply Co. 37,18566,149825.09,FOB,Sea
77,40,CA,2025-04-02,Bangladesh Import & Supply Co. 31,13502,280289.16,CFR,Road
78,44,JP,2024-05-13,Bangladesh Import & Supply Co. 08,19312,125122.11,EXW,Sea
79,8,MY,2024-04-26,Bangladesh Import & Supply Co. 38,15184,23679.69,CIF,Sea
80,28,CN,2025-08-08,Bangladesh Import & Supply Co. 40,4759,46849.45,CIF,Sea
81,19,VN,2025-03-26,Bangladesh Import & Supply Co. 34,24910,329989.99,CIF,Sea
82,8,SA,2025-09-20,Bangladesh Import & Supply Co. 31,9057,208517.61,FOB,Sea
83,55,TH,2026-05-28,Bangladesh Import & Supply Co. 02,31296,713873.04,EXW,
84,55,ES,2024-07-23,Bangladesh Import & Supply Co. 27,10188,158114.09,CIF,Sea
85,50,BE,2024-09-20,Bangladesh Import & Supply Co. 22,28357,439756.2,EXW,Sea
86,38,NZ,2024-11-07,Bangladesh Import & Supply Co. 17,23308,103691.8,EXW,Sea
87,48,US,2024-10-18,Bangladesh Import & Supply Co. 11,26120,411564.78,EXW,Sea
88,48,NL,2025-01-01,Bangladesh Import & Supply Co. 10,1092,23277.47,EXW,Sea
89,57,PK,2025-09-24,Bangladesh Import & Supply Co. 22,21022,469858.21,CFR,Road
90,40,US,2024-04-11,Bangladesh Import & Supply Co. 24,10400,91098.73,FOB,Sea
91,15,GB,2025-10-21,Bangladesh Import & Supply Co. 03,24073,519574.56,CFR,Sea
92,17,IT,2025-10-12,Bangladesh Import & Supply Co. 20,32496,662395.22,CIF,Sea
93,45,BE,2024-05-06,Bangladesh Import & Supply Co. 32,28328,641711.36,CIF,Sea
94,17,CN,2026-07-29,Bangladesh Import & Supply Co. 22,1036,6712.56,FOB,Road
95,25,ZA,2024-05-18,Bangladesh Import & Supply Co. 30,26742,460683.28,CFR,Sea
96,53,ZA,2026-06-10,Bangladesh Import & Supply Co. 10,16154,369952.35,FOB,Sea
97,56,BR,2024-06-13,Bangladesh Import & Supply Co. 40,2214,48865.16,EXW,Sea
98,34,JP,2024-06-07,Bangladesh Import & Supply Co. 32,15590,192525.65,CFR,Sea
99,36,CH,2024-03-16,Bangladesh Import & Supply Co. 27,15224,197083.41,EXW,Sea
100,32,MY,2024-08-01,Bangladesh Import & Supply Co. 05,7380,60109.59,CIF,Sea
101,40,IN,2024-03-29,Bangladesh Import & Supply Co. 35,9852,82017.86,CIF,Road
102,35,SE,2024-05-18,Bangladesh Import & Supply Co. 40,588,12320.58,,Sea
103,3,KR,2024-08-17,Bangladesh Import & Supply Co. 31,13534,59741.67,EXW,Sea
104,13,FR,2025-09-11,Bangladesh Import & Supply Co. 29,18467,297741.14,CIF,Road
105,14,SA,2024-06-05,Bangladesh Import & Supply Co. 03,30779,565778.4,EXW,Sea
106,14,AU,2025-08-11,Bangladesh Import & Supply Co. 33,5745,84691.09,EXW,Road
107,13,FR,2025-08-05,Bangladesh Import & Supply Co. 04,31572,425659.14,FOB,Sea
108,22,CA,2024-03-01,Bangladesh Import & Supply Co. 36,24051,174200.58,CFR,Sea
109,24,CH,2024-11-28,Bangladesh Import & Supply Co. 32,14179,211020.21,EXW,Road
110,50,TH,2024-11-19,Bangladesh Import & Supply Co. 16,4438,6813,EXW,Sea
111,26,BR,2025-11-17,Bangladesh Import & Supply Co. 37,19142,190427.36,FOB,Sea
112,37,VN,2026-06-01,Bangladesh Import & Supply Co. 36,31780,728261.84,CIF,Air
113,26,CN,2025-09-25,Bangladesh Import & Supply Co. 20,33405,798729.64,CFR,Sea
114,55,CA,2025-07-22,Bangladesh Import & Supply Co. 14,22525,30739.56,FOB,Air
115,55,TH,2024-04-28,Bangladesh Import & Supply Co. 01,30321,713222.12,EXW,Road
116,12,IT,2024-04-16,Bangladesh Import & Supply Co. 21,3028,28982.66,CIF,Road
117,57,CA,2026-05-03,Bangladesh Import & Supply Co. 08,8829,185435.1,CIF,Air
118,41,LK,2025-07-06,Bangladesh Import & Supply Co. 28,31255,582285.19,EXW,Sea
119,48,BR,2025-12-07,Bangladesh Import & Supply Co. 19,28136,591761.73,CFR,Sea
120,49,SE,2025-11-07,Bangladesh Import & Supply Co. 20,4103,54410.96,FOB,Sea
121,37,QA,2025-06-21,Bangladesh Import & Supply Co. 35,29853,27999.17,CIF,Sea
122,52,MY,2025-04-24,Bangladesh Import & Supply Co. 31,18309,76596.04,EXW,Sea
123,35,SA,2025-10-13,Bangladesh Import & Supply Co. 38,11715,258415.7,CIF,Sea
124,14,BE,2024-08-23,Bangladesh Import & Supply Co. 37,3605,73696.73,CFR,Sea
125,42,BE,2025-06-21,Bangladesh Import & Supply Co. 31,25039,142133.25,CIF,Road
126,55,BR,2025-06-08,Bangladesh Import & Supply Co. 23,31669,342301.69,CIF,Sea
127,31,DE,2026-04-18,Bangladesh Import & Supply Co. 03,1120,21698.61,CFR,Road
128,36,LK,2025-09-11,Bangladesh Import & Supply Co. 03,34534,473629.66,FOB,Sea
129,33,ES,2025-01-17,Bangladesh Import & Supply Co. 18,15181,85965,CIF,Sea
130,2,SG,2026-07-05,Bangladesh Import & Supply Co. 40,33894,416339.02,CIF,Sea
131,56,GB,2024-06-23,Bangladesh Import & Supply Co. 25,1453,13031.82,CFR,Air
132,40,NP,2026-03-25,Bangladesh Import & Supply Co. 40,31373,543101.26,EXW,Sea
133,19,CN,2024-06-20,Bangladesh Import & Supply Co. 12,20963,413610.4,CIF,Sea
134,3,VN,2024-02-02,Bangladesh Import & Supply Co. 22,3662,37149,CIF,Sea
135,10,DE,2026-08-14,Bangladesh Import & Supply Co. 32,29608,58683.38,CIF,Sea
136,54,QA,2024-06-05,Bangladesh Import & Supply Co. 26,32515,307314.89,EXW,Road
137,12,VN,2025-11-10,Bangladesh Import & Supply Co. 01,1672,33279.57,CFR,Sea
138,41,MY,2024-02-10,Bangladesh Import & Supply Co. 35,12466,243861.4,FOB,Sea
139,11,ES,2025-03-06,Bangladesh Import & Supply Co. 15,23205,60220.74,EXW,Road
140,48,JP,2025-04-16,Bangladesh Import & Supply Co. 01,27062,54145.49,CFR,Sea
141,55,CA,2025-01-15,Bangladesh Import & Supply Co. 34,20919,59024.91,CFR,Sea
142,40,JP,2026-04-05,Bangladesh Import & Supply Co. 31,29970,148332.78,CFR,Road
143,31,KR,2025-03-31,Bangladesh Import & Supply Co. 32,8112,14090.59,CIF,Sea
144,19,BE,2025-11-24,Bangladesh Import & Supply Co. 17,15182,312042.11,CFR,Air
145,40,NL,2025-10-21,Bangladesh Import & Supply Co. 28,4258,71292.44,CIF,Road
146,24,JP,2024-07-11,Bangladesh Import & Supply Co. 26,22371,131240.32,CFR,Sea
147,37,SE,2026-05-13,Bangladesh Import & Supply Co. 34,6405,84482.06,CIF,Road
148,59,IN,2024-08-15,Bangladesh Import & Supply Co. 23,13182,146432.83,FOB,Sea
149,37,LK,2026-01-14,Bangladesh Import & Supply Co. 06,15693,339231.85,CIF,Road
150,55,QA,2026-04-14,Bangladesh Import & Supply Co. 15,18265,124583.75,FOB,Sea
151,8,NZ,2026-01-12,Bangladesh Import & Supply Co. 11,16914,83314.78,CFR,Road
152,33,BR,2025-07-31,Bangladesh Import & Supply Co. 18,32397,496622.71,CIF,Sea
153,48,IN,2024-02-14,Bangladesh Import & Supply Co. 09,21866,58339.02,CIF,Air
154,49,US,2025-08-10,Bangladesh Import & Supply Co. 02,20167,50045.53,EXW,Sea
155,57,LK,2024-10-20,Bangladesh Import & Supply Co. 38,30158,644036.79,CFR,Sea
156,24,ZA,2024-01-31,Bangladesh Import & Supply Co. 05,18433,93433.86,EXW,Sea
157,42,PK,2026-01-03,Bangladesh Import & Supply Co. 11,7795,125006.6,EXW,Sea
158,39,IN,2024-12-18,Bangladesh Import & Supply Co. 25,13771,50006.71,CIF,Sea
159,33,CH,2025-04-26,Bangladesh Import & Supply Co. 34,33886,592258.15,CIF,Sea
160,21,BE,2025-11-26,Bangladesh Import & Supply Co. 03,3655,59103.24,CIF,Sea
161,2,CH,2026-04-14,Bangladesh Import & Supply Co. 16,6614,9854.76,CIF,Sea
162,39,IN,2024-03-23,Bangladesh Import & Supply Co. 32,7534,122136.64,CFR,Sea
163,8,NP,2026-02-08,Bangladesh Import & Supply Co. 34,25522,255631.15,CFR,Sea
164,34,BE,2026-07-02,Bangladesh Import & Supply Co. 29,13524,286663.88,CFR,Road
165,36,KR,2025-03-25,Bangladesh Import & Supply Co. 39,26687,469807.73,CIF,Sea
166,43,CH,2024-05-20,Bangladesh Import & Supply Co. 04,2541,7349.9,CFR,Sea
167,57,LK,2026-04-05,Bangladesh Import & Supply Co. 12,8661,53554.39,FOB,Sea
168,58,GB,2024-09-01,Bangladesh Import & Supply Co. 17,13044,80842.87,CIF,Air
169,11,NZ,2025-04-23,Bangladesh Import & Supply Co. 37,32792,224156.47,CIF,Sea
170,36,PK,2025-10-07,Bangladesh Import & Supply Co. 34,30211,82138.56,CIF,Sea
171,50,DE,2026-06-05,Bangladesh Import & Supply Co. 40,6492,54326.7,FOB,Sea
172,4,IN,2025-11-18,Bangladesh Import & Supply Co. 35,5324,105863.89,FOB,Sea
173,21,AU,2025-04-15,Bangladesh Import & Supply Co. 04,8378,201020.85,EXW,Sea
174,41,LK,2025-04-13,Bangladesh Import & Supply Co. 11,10251,212210.48,CFR,Sea
175,27,MY,2025-05-02,Bangladesh Import & Supply Co. 22,20906,429214.05,CFR,Sea
176,48,GB,2025-08-31,Bangladesh Import & Supply Co. 09,27717,154726,CFR,Sea
177,33,BE,2026-06-18,Bangladesh Import & Supply Co. 30,32231,493400.16,CIF,Road
178,26,SE,2024-03-11,Bangladesh Import & Supply Co. 13,19176,191984.79,CIF,Air
179,36,IT,2025-06-20,Bangladesh Import & Supply Co. 28,11797,182347.57,CFR,Sea
180,55,NZ,2024-09-16,Bangladesh Import & Supply Co. 17,2587,21224.74,FOB,Sea
181,11,PK,2024-11-05,Bangladesh Import & Supply Co. 05,34077,703872.5,CFR,Road
182,2,CH,2024-05-25,Bangladesh Import & Supply Co. 25,21112,292265.61,CIF,Road
183,30,MY,2024-10-08,Bangladesh Import & Supply Co. 13,11693,83476.79,EXW,Sea
184,53,SA,2025-08-12,Bangladesh Import & Supply Co. 37,26356,528191.12,CFR,
185,20,PK,2026-05-04,Bangladesh Import & Supply Co. 14,32244,97248.93,CIF,Sea
186,48,ZA,2025-08-07,Bangladesh Import & Supply Co. 03,10244,35360.29,EXW,Sea
187,39,IT,2025-10-01,Bangladesh Import & Supply Co. 36,6982,149122.05,CFR,Sea
188,23,SA,2026-05-07,Bangladesh Import & Supply Co. 14,13935,81275.76,CFR,Air
189,2,LK,2025-07-06,Bangladesh Import & Supply Co. 36,26768,119931.74,EXW,Sea
190,15,AE,2026-02-20,Bangladesh Import & Supply Co. 07,1125,24697.57,CFR,Road
191,40,ES,2026-03-23,Bangladesh Import & Supply Co. 07,19559,336813.84,CIF,Sea
192,34,TH,2026-08-12,Bangladesh Import & Supply Co. 01,5964,97092.79,FOB,Sea
193,54,CH,2024-08-19,Bangladesh Import & Supply Co. 30,2437,18307.06,FOB,Sea
194,38,VN,2025-08-15,Bangladesh Import & Supply Co. 19,32998,467032.11,CFR,Sea
195,60,AE,2025-11-24,Bangladesh Import & Supply Co. 27,10515,84167.41,CIF,Sea
196,35,SA,2025-07-14,Bangladesh Import & Supply Co. 30,2880,46912.98,FOB,Sea
197,43,DE,2026-07-23,Bangladesh Import & Supply Co. 11,16974,131312.78,FOB,Sea
198,31,ZA,2025-12-01,,1352,19042.35,CIF,Sea
199,21,DE,2025-03-24,Bangladesh Import & Supply Co. 29,32299,479014.73,EXW,Sea
200,34,TH,2025-03-03,Bangladesh Import & Supply Co. 15,20201,120812.77,CIF,Road
201,16,QA,2024-10-27,Bangladesh Import & Supply Co. 20,14886,284358.53,CFR,Air
202,35,IT,2024-08-25,Bangladesh Import & Supply Co. 36,19998,271693.03,EXW,Sea
203,17,AU,2025-05-22,Bangladesh Import & Supply Co. 14,33505,407895.25,EXW,Sea
204,44,BE,2024-02-28,Bangladesh Import & Supply Co. 27,24074,233923.75,EXW,Sea
205,7,SE,2024-04-12,Bangladesh Import & Supply Co. 38,10281,170955.22,FOB,Sea
206,30,AU,2024-02-13,Bangladesh Import & Supply Co. 24,26291,153704.71,EXW,Sea
207,40,ZA,2024-05-24,Bangladesh Import & Supply Co. 34,21555,324958.18,FOB,Sea
208,9,SA,2026-04-27,Bangladesh Import & Supply Co. 28,33598,224396.23,EXW,Sea
209,18,PK,2025-12-10,Bangladesh Import & Supply Co. 37,18167,401377.61,CIF,Sea
210,44,NP,2025-05-31,Bangladesh Import & Supply Co. 06,4695,32785.54,CFR,Sea
211,15,NP,2024-08-17,Bangladesh Import & Supply Co. 06,1772,39444.04,CFR,Sea
212,39,CN,2024-09-17,,28090,260181.18,FOB,Sea
213,24,ES,2024-12-13,Bangladesh Import & Supply Co. 30,23220,182824.73,FOB,Road
214,25,QA,2026-03-23,Bangladesh Import & Supply Co. 13,16053,165575.07,CIF,Sea
215,15,GB,2026-03-17,Bangladesh Import & Supply Co. 01,22444,57741.96,CIF,Road
216,52,AE,2024-02-02,Bangladesh Import & Supply Co. 34,27038,92986.74,CIF,Sea
217,38,AE,2025-05-22,Bangladesh Import & Supply Co. 32,3202,17706.36,EXW,Sea
218,40,MY,2025-02-18,Bangladesh Import & Supply Co. 18,29495,235039.22,FOB,Sea
219,35,SA,2026-07-31,Bangladesh Import & Supply Co. 18,12982,161706.98,EXW,Sea
220,18,AE,2025-09-23,Bangladesh Import & Supply Co. 34,30067,294011.54,FOB,Road
221,12,TH,2026-08-04,Bangladesh Import & Supply Co. 17,15121,338766,FOB,Sea
222,2,ZA,2026-03-20,Bangladesh Import & Supply Co. 15,7069,43709.35,EXW,Sea
223,41,CH,2024-05-17,Bangladesh Import & Supply Co. 32,1170,14191.41,EXW,Sea
224,20,CN,2024-08-18,Bangladesh Import & Supply Co. 28,8075,179433.66,CFR,Road
225,26,AU,2025-07-18,Bangladesh Import & Supply Co. 28,24335,315019.76,CIF,Sea
226,54,KR,2025-08-31,Bangladesh Import & Supply Co. 07,13713,82310.53,CIF,Sea
227,56,LK,2024-12-01,Bangladesh Import & Supply Co. 28,28533,653136.43,FOB,Sea
228,24,AU,2025-01-10,Bangladesh Import & Supply Co. 09,2750,63477.12,CFR,Sea
229,21,SA,2025-01-15,Bangladesh Import & Supply Co. 33,13953,107349.36,FOB,Air
230,38,BE,2024-09-02,Bangladesh Import & Supply Co. 37,19780,464471.36,CIF,Road
231,21,JP,2024-02-04,Bangladesh Import & Supply Co. 12,24889,468031.47,FOB,Sea
232,14,FR,2024-11-01,Bangladesh Import & Supply Co. 12,32890,208886.92,,Sea
233,29,SG,2026-05-31,Bangladesh Import & Supply Co. 14,6858,120176.57,FOB,Sea
234,40,JP,2026-03-17,Bangladesh Import & Supply Co. 16,3357,48731.77,CIF,Sea
235,45,NL,2024-11-06,Bangladesh Import & Supply Co. 13,591,2252.01,EXW,Sea
236,24,TH,2025-05-25,Bangladesh Import & Supply Co. 31,6953,115775.75,CIF,Sea
237,32,CH,2025-07-16,Bangladesh Import & Supply Co. 20,22833,344053.11,FOB,Sea
238,38,US,2024-09-28,Bangladesh Import & Supply Co. 34,9104,138926.29,CFR,Road
239,35,IN,2026-08-13,Bangladesh Import & Supply Co. 28,32915,767161.7,CIF,Sea
240,7,MY,2025-11-23,Bangladesh Import & Supply Co. 17,9128,186455.98,FOB,Road
241,24,CN,2024-05-22,Bangladesh Import & Supply Co. 24,27133,174508.24,EXW,Road
242,33,TH,2026-02-23,Bangladesh Import & Supply Co. 32,8732,114300.33,CFR,Sea
243,34,SE,2025-01-17,Bangladesh Import & Supply Co. 22,6022,8735.87,CIF,Air
244,32,DE,2026-06-14,Bangladesh Import & Supply Co. 03,10947,11066.54,CFR,Sea
245,36,CN,2024-12-09,Bangladesh Import & Supply Co. 05,18182,432003.93,FOB,Sea
246,49,NL,2025-10-24,Bangladesh Import & Supply Co. 18,8113,148665.67,,Sea
247,30,QA,2024-07-18,Bangladesh Import & Supply Co. 22,5837,5811.99,FOB,Air
248,3,CH,2024-05-08,Bangladesh Import & Supply Co. 38,20149,296887.48,EXW,Air
249,15,LK,2025-03-10,Bangladesh Import & Supply Co. 32,11805,164581.06,CIF,Sea
250,57,GB,2024-02-24,Bangladesh Import & Supply Co. 01,19437,112753.71,FOB,Sea
251,53,AE,2025-11-13,Bangladesh Import & Supply Co. 36,17640,366568.77,EXW,Sea
252,55,ES,2025-05-24,Bangladesh Import & Supply Co. 04,12638,36721.95,EXW,Sea
253,32,QA,2026-07-06,Bangladesh Import & Supply Co. 34,23227,537867.74,CIF,Sea
254,2,TH,2024-08-12,Bangladesh Import & Supply Co. 39,740,6306.45,FOB,Sea
255,25,ZA,2024-12-07,Bangladesh Import & Supply Co. 27,26522,578112.63,EXW,Road
256,23,TH,2025-12-10,Bangladesh Import & Supply Co. 31,32281,352473.85,FOB,Sea
257,37,SA,2026-04-06,Bangladesh Import & Supply Co. 35,3105,60375.65,FOB,Sea
258,7,SG,2025-04-15,Bangladesh Import & Supply Co. 20,17186,269531.74,CFR,Road
259,36,SE,2026-07-08,Bangladesh Import & Supply Co. 22,24795,511433.93,CIF,Sea
260,40,FR,2026-03-27,Bangladesh Import & Supply Co. 08,15993,108161.3,FOB,Sea
261,14,PK,2024-05-06,Bangladesh Import & Supply Co. 18,17434,144332.17,CFR,Sea
262,11,VN,2024-10-16,Bangladesh Import & Supply Co. 37,31062,629940.22,FOB,Sea
263,13,SA,2025-05-02,Bangladesh Import & Supply Co. 21,11754,33360.24,CFR,Road
264,3,TH,2026-04-09,Bangladesh Import & Supply Co. 30,19745,402643.27,FOB,Road
265,57,VN,2026-04-11,Bangladesh Import & Supply Co. 18,31154,257276.64,CIF,Road
266,16,ZA,2026-07-30,Bangladesh Import & Supply Co. 22,9173,65404.98,EXW,Sea
267,45,BR,2026-02-14,Bangladesh Import & Supply Co. 29,28079,355080.36,FOB,Road
268,34,NL,2024-05-20,Bangladesh Import & Supply Co. 27,31880,381146.21,CFR,Sea
269,39,LK,2025-03-27,Bangladesh Import & Supply Co. 04,22988,437665.45,CIF,Sea
270,10,NP,2024-08-28,Bangladesh Import & Supply Co. 04,27473,362435.95,CIF,Sea
271,23,NP,2025-09-27,Bangladesh Import & Supply Co. 34,9450,14142.23,FOB,Sea
272,59,ZA,2025-03-02,Bangladesh Import & Supply Co. 11,30591,207342.72,EXW,Road
273,12,CH,2024-06-07,Bangladesh Import & Supply Co. 21,9280,156437.94,FOB,Sea
274,31,FR,2025-06-03,Bangladesh Import & Supply Co. 13,33127,270461.57,CFR,Sea
275,5,DE,2024-07-20,Bangladesh Import & Supply Co. 04,27280,70265.74,FOB,Road
276,39,AE,2026-07-08,Bangladesh Import & Supply Co. 04,21101,100857.02,CIF,Air
277,55,ZA,2024-02-28,Bangladesh Import & Supply Co. 15,13736,75457.13,CFR,Air
278,54,AE,2026-06-19,Bangladesh Import & Supply Co. 15,21233,109678.95,EXW,Sea
279,11,ES,2026-03-09,Bangladesh Import & Supply Co. 06,22569,353937.9,EXW,Sea
280,31,DE,2025-04-08,Bangladesh Import & Supply Co. 21,21024,493333.96,FOB,Sea
281,10,CA,2024-05-17,Bangladesh Import & Supply Co. 11,6360,151903.48,FOB,Sea
282,15,TH,2025-03-25,Bangladesh Import & Supply Co. 37,11170,122843.66,FOB,Sea
283,5,NZ,2025-07-03,Bangladesh Import & Supply Co. 14,24837,211296.54,EXW,Sea
284,5,TH,2025-06-18,Bangladesh Import & Supply Co. 12,20904,126749.7,CIF,Sea
285,35,ES,2024-02-26,Bangladesh Import & Supply Co. 40,21384,312581.2,CIF,Sea
286,45,CA,2026-01-13,Bangladesh Import & Supply Co. 34,14145,178723.93,CFR,Road
287,24,DE,2024-03-06,Bangladesh Import & Supply Co. 14,33013,789190.94,EXW,Sea
288,27,NL,2026-07-04,Bangladesh Import & Supply Co. 27,16582,362551.88,EXW,Sea
289,42,BE,2024-06-04,Bangladesh Import & Supply Co. 40,22416,400728.71,EXW,Road
290,9,CN,2025-07-02,Bangladesh Import & Supply Co. 20,14714,69452.85,EXW,Road
291,29,ES,2025-11-05,Bangladesh Import & Supply Co. 14,26961,616752.46,FOB,Sea
292,36,ZA,2024-04-13,Bangladesh Import & Supply Co. 29,19885,207964.18,CFR,Sea
