idp_id,district_id,year,stock_displacement,flow_displacement,conflict_displaced,disaster_displaced
163,55,2023,6078,5584,366,5218
164,55,2024,7586,11350,1313,10037
165,55,2025,14449,1052,113,939
166,56,2023,13383,6297,433,5864
167,56,2024,5523,6466,606,5860
168,56,2025,3358,7245,765,6480
169,57,2023,5966,9883,354,9529
170,57,2024,14113,6333,707,5626
171,57,2025,21749,9847,329,9518
172,58,2023,250,4591,462,4129
173,58,2024,19993,1315,21,1294
174,58,2025,6009,1094,69,1025
175,59,2023,3908,8933,382,8551
176,59,2024,11616,11180,521,10659
177,59,2025,7006,4277,201,4076
178,60,2023,9654,1997,68,1929
179,60,2024,10526,499,54,445
180,60,2025,14881,11169,1277,9892
181,61,2023,16259,8145,368,7777
182,61,2024,10519,605,65,540
183,61,2025,12493,6921,377,6544
184,62,2023,6451,9773,1109,8664
185,62,2024,19038,2870,151,2719
186,62,2025,7382,2976,151,2825
187,63,2023,20471,6683,368,6315
188,63,2024,15972,6129,307,5822
189,63,2025,12042,3462,357,3105
190,64,2023,9419,8771,1005,7766
191,64,2024,5750,6442,182,6260
192,64,2025,1290,8215,158,8057
