household_structure_id,area_id,year,household_type,indicator_id,value
171,4,2022,Other household,12,97.978
172,4,2022,Other household,13,3.82
173,5,2022,Slum household,10,36333
174,5,2022,Slum household,11,130863
175,5,2022,Slum household,12,0.751
176,5,2022,Slum household,13,3.6
177,5,2022,Floating household,10,1236
178,5,2022,Floating household,11,1328
179,5,2022,Floating household,12,0.008
180,5,2022,Floating household,13,1.07
181,5,2022,Other household,10,4463522
182,5,2022,Other household,11,17284454
183,5,2022,Other household,12,99.241
184,5,2022,Other household,13,3.87
185,6,2022,Slum household,10,9286
186,6,2022,Slum household,11,36491
187,6,2022,Slum household,12,0.298
188,6,2022,Slum household,13,3.93
189,6,2022,Floating household,10,637
190,6,2022,Floating household,11,696
191,6,2022,Floating household,12,0.006
192,6,2022,Floating household,13,1.09
193,6,2022,Other household,10,3047623
194,6,2022,Other household,11,12188311
195,6,2022,Other household,12,99.696
196,6,2022,Other household,13,4
197,7,2022,Slum household,10,17713
198,7,2022,Slum household,11,65526
199,7,2022,Slum household,12,0.322
200,7,2022,Slum household,13,3.7
201,7,2022,Floating household,10,1153
202,7,2022,Floating household,11,1316
203,7,2022,Floating household,12,0.006
204,7,2022,Floating household,13,1.14
205,7,2022,Other household,10,5352863
206,7,2022,Other household,11,20286277
207,7,2022,Other household,12,99.672
208,7,2022,Other household,13,3.79
209,8,2022,Slum household,10,24425
210,8,2022,Slum household,11,92470
211,8,2022,Slum household,12,0.525
212,8,2022,Slum household,13,3.79
213,8,2022,Floating household,10,991
214,8,2022,Floating household,11,1078
215,8,2022,Floating household,12,0.006
216,8,2022,Floating household,13,1.09
217,8,2022,Other household,10,4463579
218,8,2022,Other household,11,17517408
219,8,2022,Other household,12,99.469
220,8,2022,Other household,13,3.92
221,9,2022,Slum household,10,29350
222,9,2022,Slum household,11,127584
223,9,2022,Slum household,12,1.156
224,9,2022,Slum household,13,4.35
225,9,2022,Floating household,10,842
226,9,2022,Floating household,11,895
227,9,2022,Floating household,12,0.008
228,9,2022,Floating household,13,1.06
229,9,2022,Other household,10,2183465
230,9,2022,Other household,11,10906384
231,9,2022,Other household,12,98.836
232,9,2022,Other household,13,4.99
