transaction_id,exporter_id,buyer_id,product_id,declarant_id,commodity_id,transaction_date,no_of_packages,gross_weight_kg,net_weight_kg,quantity,unit,total_value_usd,total_value_bdt,currency,exchange_rate,delivery_terms,mode_of_transport,month,year
14,80,3,58,18,25,2026-08-13,244,26223.39,25525.8,23849,pcs,396335.09,48487634.91060001,USD,122.34,CIF,Sea,8,2026
15,52,72,5,23,10,2025-09-13,261,32089.14,29846.49,28006,kg,130266.13,15970627.538,USD,122.6,FCA,Road,9,2025
16,31,54,52,4,19,2024-05-10,81,2590.53,2536.63,8288,pcs,48263.78,5922448.4438,USD,122.71,CIF,Air,5,2024
17,75,45,52,38,19,2026-06-25,346,12435.55,11953.81,10504,pcs,196621.71,23614267.371,USD,120.1,CFR,Sea,6,2026
18,65,19,23,8,14,2024-06-18,660,7981.11,7575.2,25463,pcs,173402.77,21273051.8236,USD,122.68,CIF,Sea,6,2024
19,58,113,4,28,15,2025-03-11,110,7447.9,7107.51,12743,pcs,257283.82,30205120.468000002,USD,117.4,CIF,Sea,3,2025
20,43,4,49,16,11,2025-06-20,76,4950.91,4758.45,7267,kg,152950.86,18097145.7552,USD,118.32,CIF,Sea,6,2025
21,74,94,34,12,21,2024-10-07,400,12019.81,11489.74,18880,unit,75857.06,9240148.4786,USD,121.81,CFR,Sea,10,2024
22,8,86,42,30,14,2024-03-05,116,2721.32,2616.35,11874,pcs,323409.23,38382207.4164,USD,118.68,CIF,Sea,3,2024
23,78,22,34,2,21,2025-06-22,485,30746.15,28581.36,24991,unit,543777.04,65574073.25360001,USD,120.59,FOB,Sea,6,2025
24,2,90,15,32,17,2025-12-29,384,15525.29,14924.32,27528,pcs,468444.64,57749855.2192,USD,123.28,FOB,Air,12,2025
25,24,65,23,28,14,2025-03-31,158,2645.42,2547.84,11096,pcs,259020.14,31908691.046600003,USD,123.19,FCA,Sea,3,2025
26,34,24,53,30,20,2024-04-28,351,20555.05,19191.22,27803,unit,308636.75,37311096.7075,USD,120.89,CFR,Sea,4,2024
27,48,48,39,17,23,2024-04-05,376,20595.4,19878.38,25574,pcs,262387.54,32000784.378399994,USD,121.96,EXW,Air,4,2024
28,76,9,3,8,14,2026-05-16,100,3274.22,3103.59,8234,pcs,112018.21,13442185.200000001,USD,120,EXW,Road,5,2026
29,38,7,11,15,18,2024-07-25,471,17207.96,15689.77,14761,pcs,89400.86,10704858.9764,USD,119.74,CIF,Sea,7,2024
30,40,115,16,15,12,2025-06-29,130,11389.01,11110.77,10625,kg,163474.36,19544994.481599998,USD,119.56,CFR,Sea,6,2025
31,36,109,44,34,15,2024-02-02,747,25388.83,24333.81,22766,pcs,574094.22,68856860.74679999,USD,119.94,CFR,Sea,2,2024
32,16,55,7,36,9,2024-02-07,389,14215.79,13689.62,19385,pcs,34147.02,4125642.9563999996,USD,120.82,EXW,Air,2,2024
33,45,92,56,37,12,2025-03-21,414,12954,12259.6,21433,kg,625628.06,76370417.2842,USD,122.07,FCA,Air,3,2025
34,61,30,33,6,20,2024-11-08,71,4363.39,4155.31,5081,unit,111031.63,13482570.8309,USD,121.43,CFR,Sea,11,2024
35,38,46,33,5,20,2025-10-03,31,730.75,692.37,3854,unit,84094.84,9956829.056,USD,118.4,FOB,Sea,10,2025
36,66,35,30,33,16,2024-12-02,214,7253.43,6973.8,15669,pcs,102437.64,12512757.726,USD,122.15,FOB,Sea,12,2024
37,35,1,5,9,10,2025-08-23,521,6719.19,6497.33,15673,kg,184399.86,22751254.7268,USD,123.38,EXW,Sea,8,2025
38,27,91,44,8,15,2025-02-09,413,10247.46,9772.4,27831,pcs,831645.23,97510403.2175,USD,117.25,CIF,Sea,2,2025
39,74,11,23,14,14,2024-11-10,83,11772.88,11144.92,10022,pcs,116278.16,13969658.1424,USD,120.14,FCA,Sea,11,2024
40,62,31,15,4,17,2024-01-02,146,11310.4,10751.07,14225,pcs,15675.37,1880574.1389000001,USD,119.97,EXW,Sea,1,2024
41,46,49,11,34,18,2025-06-28,760,7298.56,7046.07,25070,pcs,172609.8,21203387.832,USD,122.84,CFR,Sea,6,2025
42,80,4,50,22,16,2024-05-26,165,6366.13,5860.67,6970,pcs,171217.34,21099112.8082,USD,123.23,FCA,Sea,5,2024
43,53,91,16,29,12,2024-08-19,504,7727.1,7299.34,25727,kg,699903.36,82455614.8416,USD,117.81,CIF,Air,8,2024
44,4,100,33,19,20,2026-01-08,234,11060.37,10772.39,22362,unit,213416.11,25466944.406299997,USD,119.33,FOB,Sea,1,2026
45,65,109,48,27,8,2025-07-26,25,2814.62,2595.73,3278,kg,74374.59,8966600.5704,USD,120.56,EXW,Sea,7,2025
46,66,97,54,13,21,2026-06-25,123,5082.2,4966.28,6486,unit,51270.1,6308273.104,USD,123.04,CIF,Sea,6,2026
47,36,77,34,16,21,2025-05-03,230,11033.99,10617.48,26447,unit,173276.29,21011482.9254,USD,121.26,CFR,,5,2025
48,32,46,27,7,9,2025-03-02,377,4967.01,4705.86,25968,pcs,724268.85,88063849.4715,USD,121.59,CIF,Sea,3,2025
49,34,91,24,27,15,2026-02-07,232,21318.99,19605.7,23301,pcs,612369.8,75076537.48,USD,122.6,EXW,Sea,2,2026
50,17,65,16,16,12,2024-06-16,200,6997.92,6811.25,6282,kg,5400.82,650042.6952,USD,120.36,CFR,Sea,6,2024
51,9,18,16,23,12,2024-01-16,353,11452.92,10585.88,19021,kg,204420.87,24485531.8086,USD,119.78,CIF,Sea,1,2024
52,53,101,16,10,12,2026-01-14,124,4826.63,4424.84,6502,kg,19092.66,2351452.0056,USD,123.16,EXW,Sea,1,2026
53,36,33,15,26,17,2025-09-18,449,7356.01,7013.3,22064,pcs,510300.95,60072627.834,USD,117.72,FCA,Sea,9,2025
54,51,90,34,20,21,2025-01-20,51,3381.41,3141.8,6330,unit,66738.96,7946607.967200001,USD,119.07,CFR,Sea,1,2025
55,65,110,48,15,8,2026-01-03,626,30412.31,28764.23,26645,kg,523987.66,63612101.924,USD,121.4,CIF,Sea,1,2026
56,1,91,24,10,15,2024-11-14,12,549.26,505.42,871,pcs,2457.21,288894.1797,USD,117.57,CIF,Sea,11,2024
57,24,51,58,1,25,2025-08-23,144,3152.29,3088.13,7496,pcs,156971.65,18450447.741,USD,117.54,CIF,Sea,8,2025
58,40,103,28,38,8,2024-05-25,214,2580.35,2423.74,9434,kg,164456.54,20239666.3778,USD,123.07,FCA,Sea,5,2024
59,8,101,9,37,11,2024-05-20,119,6558.36,6260.13,10634,kg,243508.26,28580564.476200003,USD,117.37,FOB,Air,5,2024
60,76,52,29,1,11,2024-01-11,180,3141.75,2857.04,17691,kg,191979.57,23669161.185300004,USD,123.29,CFR,Sea,1,2024
61,36,87,1,33,13,2025-08-24,240,8173.24,7785.6,29611,pcs,716643.7,84420627.86,USD,117.8,FCA,Sea,8,2025
62,5,69,1,39,13,2024-09-06,211,2116.67,1956.43,8821,pcs,155086.81,18734486.648,USD,120.8,FCA,Sea,9,2024
63,15,10,50,23,16,2026-04-12,469,18451.04,16858.92,28877,pcs,495135.69,59772780.4968,USD,120.72,CFR,Sea,4,2026
64,17,6,14,7,21,2026-07-03,173,23564.09,22391.46,20746,unit,618433.6,75022180.016,USD,121.31,CFR,Air,7,2026
65,58,76,38,8,25,2026-05-14,18,926.67,904,1287,pcs,12861.84,1544063.892,USD,120.05,FOB,Air,5,2026
66,60,53,57,14,1,2026-01-06,138,16293.18,15372.05,15185,kg,287644.37,35337110.854499996,USD,122.85,FOB,Sea,1,2026
67,66,87,27,3,9,2026-01-19,59,822.45,803.97,4301,pcs,120670.28,14521461.4952,USD,120.34,FOB,Sea,1,2026
68,15,79,25,19,10,2025-03-10,15,1293.61,1210.89,1961,kg,22246.09,2654625.9197,USD,119.33,CIF,Road,3,2025
69,60,8,26,11,10,2025-05-16,94,6086.7,5719.42,8896,,20644.61,2532887.2009,USD,122.69,FOB,Road,5,2025
70,55,61,59,9,23,2025-07-15,370,5280.76,4977.99,11650,pcs,161757.47,19808819.7762,USD,122.46,FOB,Sea,7,2025
71,56,85,32,5,19,2024-07-08,116,9303.31,9098.86,13833,pcs,370686.33,44571324.3192,USD,120.24,FCA,Road,7,2024
72,60,81,2,15,14,2024-12-26,76,7732.81,7117.88,7483,pcs,34010.97,4155460.3146,USD,122.18,EXW,Sea,12,2024
73,3,74,6,1,10,2024-01-01,148,15146.97,14468.65,16136,kg,137103.54,16128860.445600001,USD,117.64,EXW,Sea,1,2024
74,35,120,29,8,11,2024-01-14,78,6362.13,6141.45,6508,kg,46346.93,5673327.7013,USD,122.41,CFR,Air,1,2024
75,11,20,25,31,10,2025-05-07,466,2857.89,2684.29,17078,kg,463615.02,55675527.7518,USD,120.09,FOB,Sea,5,2025
76,68,110,32,35,19,2026-03-09,109,2640.05,2451.68,3818,pcs,12454.32,1469236.1304,USD,117.97,CFR,Sea,3,2026
77,23,48,47,29,9,2025-06-26,184,15169.92,14405.82,17327,pcs,41317.58,4851510.243600001,USD,117.42,FOB,Sea,6,2025
78,20,42,3,20,14,2025-01-24,72,3181.77,3009.94,5918,pcs,82706.79,9900829.830899999,USD,119.71,EXW,Sea,1,2025
79,61,95,31,33,18,2025-06-27,45,4340.67,4198.83,5487,pcs,57318.06,6730859.7858,USD,117.43,FOB,Sea,6,2025
80,34,6,33,17,20,2026-08-09,161,5814.36,5661.6,20216,unit,128220.76,15576257.9248,USD,121.48,FCA,Sea,8,2026
81,76,71,39,33,23,2025-08-18,10,886.96,824.86,1325,pcs,21856.11,2686771.6023000004,USD,122.93,CFR,Sea,8,2025
82,57,38,32,27,19,2025-11-03,262,15381.07,14155.06,27068,pcs,202180.68,24364793.7468,USD,120.51,CIF,Road,11,2025
83,41,28,17,8,1,2025-06-04,189,10352.71,9998.31,10375,kg,114536.69,13855503.3893,USD,120.97,CFR,Sea,6,2025
84,64,17,36,14,12,2025-01-05,256,4287.12,4137.25,10719,kg,53570.81,6569924.1384,USD,122.64,FOB,Sea,1,2025
85,14,19,9,37,11,2025-11-27,126,1288.16,1184.07,7465,kg,125798.44,14724707.402,USD,117.05,CIF,Sea,11,2025
86,4,99,4,35,15,2026-06-30,78,1622.19,1516.38,7791,pcs,76105.95,9035298.384,USD,118.72,CIF,Sea,6,2026
87,60,37,5,13,10,2024-01-14,140,5389.31,5215.81,17718,kg,341699.9,40207827.233,USD,117.67,CFR,Sea,1,2024
88,42,1,23,9,14,2026-04-18,155,5158.91,4722.38,6590,pcs,45111.51,5338496.093400001,USD,118.34,FOB,Sea,4,2026
89,17,30,22,19,14,2024-09-05,154,16535.75,15560.57,18358,pcs,304792.85,36011275.2275,USD,118.15,FOB,Sea,9,2024
90,63,40,9,10,11,2024-07-20,91,7516.94,6889.23,10704,kg,89993.15,10985463.8205,USD,122.07,FCA,Sea,7,2024
91,41,35,10,14,16,2025-03-11,81,2758.15,2599.97,6329,pcs,38587.45,4654032.3445,USD,120.61,FOB,Sea,3,2025
92,8,14,50,19,16,2025-04-20,41,1871.16,1735.99,4214,pcs,110335.3,13190585.115,USD,119.55,CFR,Sea,4,2025
93,39,24,56,29,12,2026-08-25,153,7646.15,7199.63,18228,kg,524629,62740382.11,USD,119.59,FCA,Sea,8,2026
94,2,55,60,17,25,2025-10-10,198,4052.58,3817.1,25431,pcs,720015.61,87309092.8686,USD,121.26,EXW,Sea,10,2025
95,3,56,4,25,15,2025-09-20,74,8442,7948.13,7835,pcs,93700.27,11198119.267700002,USD,119.51,FCA,Sea,9,2025
96,43,111,17,6,1,2026-01-17,183,8458.28,8186.09,15456,kg,446505.14,53500245.8748,USD,119.82,CIF,Sea,1,2026
97,33,13,5,38,10,2025-12-16,234,26811.14,25371.61,22523,kg,316451.15,38198818.3165,USD,120.71,FCA,Sea,12,2025
98,37,80,28,1,8,2026-07-21,746,13350.74,12343.52,28518,kg,657900.79,78079665.7572,USD,118.68,EXW,Sea,7,2026
99,74,101,58,24,25,2024-05-18,598,5813.57,5525.68,22466,pcs,422645.38,51410584.0232,USD,121.64,CIF,Sea,5,2024
100,74,102,60,2,25,2025-01-17,177,7437.6,7009.53,20973,pcs,231781.06,28145174.1158,USD,121.43,FCA,Sea,1,2025
101,68,68,32,8,19,2024-11-05,53,5597.39,5319.6,5764,pcs,152814.72,18189536.121600002,USD,119.03,CIF,Sea,11,2024
102,30,65,56,4,12,2026-02-16,711,8410.75,7707.16,29858,kg,517030.58,62286673.9726,USD,120.47,CFR,Sea,2,2026
103,52,21,46,5,10,2024-08-17,400,15697.14,15197.9,25745,kg,449388.39,54811901.9283,USD,121.97,FCA,Sea,8,2024
104,46,62,38,19,25,2024-02-02,333,35720.74,33810.72,29765,,163660.72,19996066.7696,USD,122.18,CFR,Air,2,2024
105,17,114,57,11,1,2024-09-23,105,13764.69,12941.93,11595,kg,311556.56,37455329.6432,USD,120.22,CIF,Sea,9,2024
106,21,76,44,17,15,2025-05-25,340,18406.62,17332.25,22016,pcs,235047.64,28760429.2304,USD,122.36,EXW,Air,5,2025
107,29,107,6,19,10,2024-06-02,198,21766.37,20617.48,18200,kg,283859.36,33520951.8224,USD,118.09,FCA,Sea,6,2024
108,17,61,18,5,25,2024-09-05,83,1278.04,1240.02,6042,pcs,46205.44,5472110.2592,USD,118.43,CIF,Sea,9,2024
109,27,84,17,25,1,2024-02-22,141,13009.56,12350.39,14833,kg,315629.11,37922837.5665,USD,120.15,FOB,Sea,2,2024
110,3,50,20,18,25,2024-10-20,290,12340.97,11769.77,21831,pcs,489399.97,59491460.353199996,USD,121.56,FCA,Sea,10,2024
111,4,64,15,23,17,2026-07-23,139,5484.52,5089.85,17924,pcs,422522.56,51501274.8384,USD,121.89,FCA,Sea,7,2026
112,78,18,14,1,21,2026-04-24,230,26029.94,24902.38,29045,unit,606283.24,72014323.2472,USD,118.78,CIF,Sea,4,2026
113,5,11,1,38,13,2025-11-02,335,19179.31,17685.56,15577,pcs,273979.13,33669295.2857,USD,122.89,FCA,Sea,11,2025
114,74,46,34,9,21,2024-02-17,62,4764.74,4506.41,4821,unit,60800.09,7433419.0034,USD,122.26,FCA,Air,2,2024
115,13,56,6,14,10,2024-09-13,16,1562.87,1518.73,1321,kg,32362.5,3961170,USD,122.4,EXW,Sea,9,2024
116,80,68,45,33,10,2026-07-11,211,17477.75,16502.5,26169,kg,347361.75,41471519.3325,USD,119.39,FOB,Sea,7,2026
117,16,20,31,29,18,2025-02-28,387,11017.75,10613.86,26264,pcs,245673.78,30104865.0012,USD,122.54,CIF,Sea,2,2025
118,2,120,30,14,16,2025-07-17,259,12856.31,11707.93,19740,pcs,242187.79,28503081.0051,USD,117.69,EXW,Sea,7,2025
119,57,53,44,37,15,2024-07-03,196,8337.96,8085.83,9129,pcs,144128.56,16982668.224799998,USD,117.83,FOB,Sea,7,2024
120,17,19,49,16,11,2026-08-28,99,11194.59,10950.12,11604,kg,219112.64,26644097.024,USD,121.6,FOB,Sea,8,2026
121,25,5,56,28,12,2024-05-06,386,5934.3,5633.44,28079,kg,77436.32,9456523.398400001,USD,122.12,FCA,Sea,5,2024
122,72,42,16,6,12,2024-07-25,240,5704.73,5258,21400,kg,304038.73,37156573.193299994,USD,122.21,EXW,Sea,7,2024
123,62,17,8,28,8,2026-01-18,135,12145.66,11805.28,11523,kg,265227.6,32031537.251999997,USD,120.77,EXW,Sea,1,2026
124,45,96,39,28,23,2026-07-13,50,5504.6,5217.28,5180,pcs,153029.55,18268667.678999998,USD,119.38,FOB,Sea,7,2026
125,18,32,53,20,20,2025-07-09,424,13579.17,12998.11,22766,unit,578106.61,68944994.30860001,USD,119.26,CIF,Road,7,2025
126,44,111,44,10,15,2025-04-21,163,12695.3,12398.36,17942,pcs,127762.39,15580623.4605,USD,121.95,FOB,Sea,4,2025
127,12,22,6,23,10,2025-05-21,121,8366.75,7839.83,15315,kg,383319.53,45611190.8747,USD,118.99,FOB,Sea,5,2025
128,11,26,46,36,10,2025-10-23,315,3739.69,3554.58,9598,kg,116025.58,13856935.0194,USD,119.43,CIF,Sea,10,2025
129,47,79,45,40,10,2026-02-26,87,3131.56,2883.18,10541,kg,162018.87,19625345.7231,USD,121.13,CIF,Sea,2,2026
130,35,117,8,31,8,2024-10-26,829,15601.3,14894.06,25603,kg,647443.79,79143528.8896,USD,122.24,CFR,Sea,10,2024
131,78,85,35,18,17,2025-11-17,511,8831.36,8219.95,28745,pcs,359376.18,42650765.0424,USD,118.68,CFR,Sea,11,2025
132,6,97,3,24,14,2025-05-06,120,4998.1,,6405,pcs,99746.9,12109273.66,USD,121.4,CFR,Sea,5,2025
133,33,11,45,2,10,2025-05-03,15,885.89,857.97,1687,kg,23287.86,2789885.628,USD,119.8,FCA,Sea,5,2025
134,66,5,60,5,25,2024-03-15,122,8841.99,8594.57,8075,pcs,170449.01,20639670.6209,USD,121.09,FOB,Sea,3,2024
135,77,70,8,40,8,2025-03-26,74,3399.85,3201.43,3755,,49145.1,5779955.211,USD,117.61,CFR,Sea,3,2025
136,33,117,26,33,10,2025-06-14,339,26840.62,26087.78,28419,kg,331589.38,39097703.7958,USD,117.91,EXW,Sea,6,2025
137,28,61,59,8,23,2024-05-27,157,2505.33,2335.49,9900,pcs,69982.77,8406330.332400002,USD,120.12,EXW,Sea,5,2024
138,2,25,50,32,16,2025-02-28,429,11191.98,10389.29,19517,pcs,477932.68,57829854.28,USD,121,FOB,Sea,2,2025
139,17,25,21,5,13,2026-06-14,152,13261.35,12636.62,11442,pcs,175495.04,20815466.6944,USD,118.61,FOB,Sea,6,2026
140,40,2,48,33,8,2026-05-30,323,17116.92,16386.57,25540,kg,455385.69,55119883.917600006,USD,121.04,CFR,Air,5,2026
141,10,32,7,4,9,2025-11-20,330,18680.69,17203.1,23270,pcs,130242.54,16022437.270799998,USD,123.02,EXW,Air,11,2025
142,53,93,10,14,16,2024-01-24,422,19202.86,18536.23,26650,pcs,195548.69,23984046.828500003,USD,122.65,FOB,Sea,1,2024
143,39,115,31,10,18,2024-04-25,238,28967.46,26839.74,27828,pcs,39179.11,4615690.9491,USD,117.81,CIF,Sea,4,2024
144,68,34,39,17,23,2025-05-28,15,238.14,224.27,674,,7999.21,936547.5068,USD,117.08,EXW,Sea,5,2025
145,25,55,37,20,1,2025-09-05,260,12515.67,12187.59,18120,kg,105133.77,12496199.9022,USD,118.86,CIF,Sea,9,2025
146,34,69,26,14,10,2024-03-22,294,9487.64,8642.89,25810,kg,87770,10543810.1,USD,120.13,FOB,Sea,3,2024
147,49,24,55,26,17,2025-08-10,57,695.95,663.44,1863,pcs,20380.21,2508600.0489,USD,123.09,FCA,Sea,8,2025
148,57,71,9,28,11,2024-06-03,,8036.76,7496.27,7797,kg,96059.17,11819120.276800001,USD,123.04,FCA,Sea,6,2024
149,24,59,5,7,10,2024-09-15,266,11599.13,10635.18,29742,kg,759362.44,92604249.558,USD,121.95,FCA,Sea,9,2024
150,1,107,52,9,19,2025-02-11,133,9972.36,9490.16,12956,pcs,175825.96,20910981.4228,USD,118.93,CFR,Air,2,2025
151,63,89,17,38,1,2024-11-01,82,12269.22,11962.93,10411,kg,120437.34,14283868.523999998,USD,118.6,CFR,Sea,11,2024
152,3,75,23,32,14,2026-05-31,139,9964.24,9574.12,17295,pcs,20478.66,2492662.4952,USD,121.72,CIF,Sea,5,2026
153,30,80,8,13,8,2026-05-22,202,17789.53,16231.5,20490,kg,176592.13,21026824.919099998,USD,119.07,CFR,Road,5,2026
154,46,40,32,1,19,2026-08-12,331,2744.37,2523.89,11565,pcs,81214.18,9885389.989599999,USD,121.72,FCA,Sea,8,2026
155,41,91,31,6,18,2024-10-15,288,8759,8024.87,24124,pcs,124814.81,14793051.2812,USD,118.52,CFR,Sea,10,2024
156,45,39,5,28,10,2025-05-27,107,1449.76,1396.51,8029,kg,237581.51,27806539.930400003,USD,117.04,FCA,Sea,5,2025
157,44,85,53,2,20,2025-02-04,407,14059.91,12918.57,14795,unit,176884.71,20822868.0612,USD,117.72,EXW,Road,2,2025
158,57,12,27,20,9,2025-12-03,39,3244.25,2995.5,5056,pcs,122827.2,14945613.696,USD,121.68,FOB,Sea,12,2025
159,52,45,11,10,18,2024-02-19,,8951.89,8226.7,27816,pcs,243491.07,29681561.433000002,USD,121.9,FOB,Sea,2,2024
160,21,98,48,11,8,2025-12-11,27,1281.53,1166.54,1740,kg,28882.84,3439368.5872,USD,119.08,FOB,Sea,12,2025
161,65,104,19,32,23,2025-09-16,170,20624.78,19731.03,18326,pcs,229212.68,28248170.683199998,USD,123.24,FCA,Air,9,2025
162,11,13,3,38,14,2025-08-16,293,3205.4,3046.78,17027,pcs,480188.86,57315342.3296,USD,119.36,FOB,Sea,8,2025
163,36,76,20,30,25,2024-07-10,67,5184.3,4982.35,6315,pcs,168373.99,20090384.486799996,USD,119.32,CFR,Sea,7,2024
164,12,7,48,24,8,2024-10-04,,7052.28,6593.41,13768,kg,270175.53,32585870.6733,USD,120.61,CIF,Sea,10,2024
165,7,15,37,12,1,2025-11-22,198,15741.15,14614.09,15593,kg,138051.94,16810584.7338,USD,121.77,CFR,Sea,11,2025
166,8,13,2,29,14,2025-09-14,333,7391.41,7150.01,18216,pcs,105733.49,12781064.2712,USD,120.88,CFR,Sea,9,2025
167,35,28,10,26,16,2025-07-20,552,19344.98,18027.75,25796,pcs,607694.28,71786925.2964,USD,118.13,CFR,Sea,7,2025
168,42,5,11,13,18,2026-03-15,112,9086.7,8789.39,13412,pcs,120900.92,14910710.4636,USD,123.33,CFR,Sea,3,2026
169,1,17,11,27,18,2026-06-19,120,4659.12,4364.54,5015,pcs,30367.05,3574809.1259999997,USD,117.72,FOB,Sea,6,2026
170,54,33,34,25,21,2024-07-20,19,337.81,313.89,1136,unit,944.37,110916.2565,USD,117.45,FOB,Sea,7,2024
171,38,61,4,21,15,2025-09-11,94,2719.55,2573,3824,pcs,11360.2,1393555.7340000002,USD,122.67,CIF,Sea,9,2025
172,47,108,59,24,23,2026-01-26,209,18879.42,17439.86,20804,pcs,254770.56,30144452.659199998,USD,118.32,FOB,Road,1,2026
173,40,28,5,21,10,2026-04-25,147,4283.45,4047.87,13634,kg,220938.65,26099482.724499997,USD,118.13,FOB,Sea,4,2026
174,17,101,9,9,11,2025-01-26,231,18196.27,16650.38,27844,kg,352876.05,42655656.923999995,USD,120.88,FCA,Sea,1,2025
175,56,105,11,24,18,2025-02-17,480,3758.56,3440.51,14580,pcs,103151.33,12106871.6021,USD,117.37,EXW,Road,2,2025
176,56,88,21,12,13,2024-12-04,46,3920.31,3826.98,5244,pcs,78101.47,9269863.4743,USD,118.69,FOB,Sea,12,2024
177,74,116,36,21,12,2026-06-02,124,3980.49,3862.37,10947,kg,212339.74,26117788.02,USD,123,CFR,Sea,6,2026
178,56,33,51,32,18,2024-09-02,90,2077.04,1994.04,2991,pcs,40853.43,5042538.8649,USD,123.43,FOB,Sea,9,2024
179,48,55,10,29,16,2026-03-21,219,22975.41,20923.09,21396,pcs,571077.47,68900496.7555,USD,120.65,EXW,Sea,3,2026
180,10,43,29,30,11,2025-10-07,540,33370.27,32305.3,29770,kg,368196.92,44040033.6012,USD,119.61,FOB,Road,10,2025
181,22,117,18,20,25,2025-05-18,38,2837.55,2769.46,4889,pcs,89744.17,10646350.8871,USD,118.63,CIF,Road,5,2025
182,4,77,58,7,25,2024-08-07,36,1690.73,1649.25,3442,pcs,36363.87,4484392.4484,USD,123.32,EXW,Sea,8,2024
183,48,86,60,23,25,2026-06-19,8,151.72,144.99,652,pcs,13770.66,1633337.9826,USD,118.61,EXW,Road,6,2026
184,59,82,58,11,25,2025-02-21,50,652.97,637.05,4136,pcs,37563.21,4495189.3407,USD,119.67,FCA,Road,2,2025
185,59,27,50,18,16,2025-04-25,100,11312.66,10610.47,10501,pcs,298740.74,35813039.911199994,USD,119.88,CIF,Sea,4,2025
186,11,116,35,21,17,2024-01-17,309,19914.27,18816.55,17729,pcs,65693.1,7877916.552000001,USD,119.92,CFR,Road,1,2024
187,59,96,4,25,15,2024-05-16,106,6550.86,6257.7,10829,pcs,252728,31047634.799999997,USD,122.85,CFR,Sea,5,2024
188,69,27,26,3,10,2026-06-07,,22324.62,21317.27,24430,kg,135362.96,16192117.2752,USD,119.62,FOB,Sea,6,2026
189,42,3,10,10,16,2024-10-30,87,9594.92,9016.25,8019,,45974.96,5502283.2128,USD,119.68,FCA,Air,10,2024
190,68,113,9,39,11,2025-01-01,175,7997.27,7651.16,9038,kg,110427.42,13603553.8698,USD,123.19,CIF,Sea,1,2025
191,23,86,7,27,9,2024-12-06,167,4050.64,3894.86,16258,pcs,400559.39,49044491.7116,USD,122.44,FOB,Air,12,2024
192,36,66,25,31,10,2026-02-03,238,6941.21,6581.99,10303,kg,283429.9,34462241.541,USD,121.59,FCA,Sea,2,2026
193,27,60,33,20,20,2024-04-25,15,149.44,145.09,770,unit,20236.67,2432852.4674,USD,120.22,EXW,Sea,4,2024
194,35,89,30,4,16,2024-03-03,104,5332.91,5206.02,12792,pcs,265395.57,32200444.5081,USD,121.33,CFR,Sea,3,2024
195,9,66,36,32,12,2024-10-23,38,2129.66,2025.84,4634,kg,53559.66,6448583.064000001,USD,120.4,CFR,Sea,10,2024
196,69,42,13,2,20,2024-09-11,164,15568.1,15171.87,17077,unit,170947.68,20260719.0336,USD,118.52,CIF,Air,9,2024
197,2,21,39,23,23,2026-06-12,374,22428.4,21922.78,23607,pcs,681395.16,80404628.88000001,USD,118,EXW,Sea,6,2026
198,29,50,48,30,8,2024-10-13,224,9843.42,9524.74,26567,kg,36001,4302119.5,USD,119.5,CIF,Sea,10,2024
199,4,25,52,35,19,2025-02-15,126,5005.14,4651.68,4689,pcs,64986.52,7689854.911599999,USD,118.33,FOB,Road,2,2025
