buyer_id,destination_country,buyer_name,buyer_address
46,ZA,ZA International Sourcing GmbH 046,"146 Trade Avenue, ZA"
47,NP,NP International Commerce BV 047,"147 Trade Avenue, NP"
48,MY,MY International Distribution Inc. 048,"148 Trade Avenue, MY"
49,QA,QA International Imports Ltd. 049,"149 Trade Avenue, QA"
50,FR,FR International Retail Group 050,"150 Trade Avenue, FR"
51,SE,SE International Trading LLC 051,"151 Trade Avenue, SE"
52,BR,BR International Sourcing GmbH 052,"152 Trade Avenue, BR"
53,CN,CN International Commerce BV 053,"153 Trade Avenue, CN"
54,TH,TH International Distribution Inc. 054,"154 Trade Avenue, TH"
55,US,US International Imports Ltd. 055,"155 Trade Avenue, US"
56,IT,IT International Retail Group 056,"156 Trade Avenue, IT"
57,CH,CH International Trading LLC 057,"157 Trade Avenue, CH"
58,IN,IN International Sourcing GmbH 058,"158 Trade Avenue, IN"
59,JP,JP International Commerce BV 059,"159 Trade Avenue, JP"
60,VN,VN International Distribution Inc. 060,"160 Trade Avenue, VN"
61,CA,CA International Imports Ltd. 061,"161 Trade Avenue, CA"
62,ES,ES International Retail Group 062,"162 Trade Avenue, ES"
63,AU,AU International Trading LLC 063,"163 Trade Avenue, AU"
64,PK,PK International Sourcing GmbH 064,"164 Trade Avenue, PK"
65,KR,KR International Commerce BV 065,"165 Trade Avenue, KR"
66,AE,AE International Distribution Inc. 066,"166 Trade Avenue, AE"
67,GB,GB International Imports Ltd. 067,"167 Trade Avenue, GB"
68,NL,NL International Retail Group 068,"168 Trade Avenue, NL"
69,NZ,NZ International Trading LLC 069,"169 Trade Avenue, NZ"
70,LK,LK International Sourcing GmbH 070,"170 Trade Avenue, LK"
71,SG,SG International Commerce BV 071,"171 Trade Avenue, SG"
72,SA,SA International Distribution Inc. 072,"172 Trade Avenue, SA"
73,DE,DE International Imports Ltd. 073,"173 Trade Avenue, DE"
74,BE,BE International Retail Group 074,"174 Trade Avenue, BE"
75,ZA,ZA International Trading LLC 075,"175 Trade Avenue, ZA"
76,NP,NP International Sourcing GmbH 076,"176 Trade Avenue, NP"
77,MY,MY International Commerce BV 077,"177 Trade Avenue, MY"
78,QA,QA International Distribution Inc. 078,"178 Trade Avenue, QA"
79,FR,FR International Imports Ltd. 079,"179 Trade Avenue, FR"
80,SE,SE International Retail Group 080,"180 Trade Avenue, SE"
81,BR,BR International Trading LLC 081,"181 Trade Avenue, BR"
82,CN,CN International Sourcing GmbH 082,"182 Trade Avenue, CN"
83,TH,TH International Commerce BV 083,"183 Trade Avenue, TH"
84,US,US International Distribution Inc. 084,"184 Trade Avenue, US"
85,IT,IT International Imports Ltd. 085,"185 Trade Avenue, IT"
86,CH,CH International Retail Group 086,"186 Trade Avenue, CH"
87,IN,IN International Trading LLC 087,"187 Trade Avenue, IN"
88,JP,JP International Sourcing GmbH 088,"188 Trade Avenue, JP"
89,VN,VN International Commerce BV 089,"189 Trade Avenue, VN"
90,CA,CA International Distribution Inc. 090,"190 Trade Avenue, CA"
91,ES,ES International Imports Ltd. 091,"191 Trade Avenue, ES"
92,AU,AU International Retail Group 092,"192 Trade Avenue, AU"
93,PK,PK International Trading LLC 093,"193 Trade Avenue, PK"
94,KR,KR International Sourcing GmbH 094,"194 Trade Avenue, KR"
95,AE,AE International Commerce BV 095,"195 Trade Avenue, AE"
96,GB,GB International Distribution Inc. 096,"196 Trade Avenue, GB"
97,NL,NL International Imports Ltd. 097,"197 Trade Avenue, NL"
98,NZ,NZ International Retail Group 098,"198 Trade Avenue, NZ"
99,LK,LK International Trading LLC 099,"199 Trade Avenue, LK"
100,SG,SG International Sourcing GmbH 100,"200 Trade Avenue, SG"
101,SA,SA International Commerce BV 101,"201 Trade Avenue, SA"
102,DE,DE International Distribution Inc. 102,"202 Trade Avenue, DE"
103,BE,BE International Imports Ltd. 103,"203 Trade Avenue, BE"
104,ZA,ZA International Retail Group 104,"204 Trade Avenue, ZA"
105,NP,NP International Trading LLC 105,"205 Trade Avenue, NP"
106,MY,MY International Sourcing GmbH 106,"206 Trade Avenue, MY"
107,QA,QA International Commerce BV 107,"207 Trade Avenue, QA"
108,FR,FR International Distribution Inc. 108,
109,SE,SE International Imports Ltd. 109,"209 Trade Avenue, SE"
110,BR,BR International Retail Group 110,"210 Trade Avenue, BR"
111,CN,CN International Trading LLC 111,"211 Trade Avenue, CN"
112,TH,TH International Sourcing GmbH 112,"212 Trade Avenue, TH"
113,US,US International Commerce BV 113,"213 Trade Avenue, US"
114,IT,IT International Distribution Inc. 114,"214 Trade Avenue, IT"
115,CH,CH International Imports Ltd. 115,"215 Trade Avenue, CH"
116,IN,IN International Retail Group 116,"216 Trade Avenue, IN"
117,JP,JP International Trading LLC 117,"217 Trade Avenue, JP"
118,VN,VN International Sourcing GmbH 118,"218 Trade Avenue, VN"
119,CA,CA International Commerce BV 119,"219 Trade Avenue, CA"
120,ES,ES International Distribution Inc. 120,"220 Trade Avenue, ES"
