population_id,area_id,year,population_category_id,population_count
116,20,2022,4,47
117,21,2022,1,532426
118,21,2022,2,275838
119,21,2022,3,256474
120,21,2022,4,114
121,22,2022,1,1010530
122,22,2022,2,494625
123,22,2022,3,515608
124,22,2022,4,96
125,23,2022,1,2570450
126,23,2022,2,1254840
127,23,2022,3,1314423
128,23,2022,4,151
129,24,2022,1,1932514
130,24,2022,2,945076
131,24,2022,3,985131
132,24,2022,4,129
133,25,2022,1,661161
134,25,2022,2,316521
135,25,2022,3,344424
136,25,2022,4,40
137,26,2022,1,1727254
138,26,2022,2,843027
139,26,2022,3,883656
140,26,2022,4,93
141,27,2022,1,1198193
142,27,2022,2,582661
143,27,2022,3,615179
144,27,2022,4,54
145,28,2022,1,481109
146,28,2022,2,246590
147,28,2022,3,234035
148,28,2022,4,17
149,29,2022,1,3306559
150,29,2022,2,1537743
151,29,2022,3,1767766
152,29,2022,4,202
153,30,2022,1,2635748
154,30,2022,2,1228774
155,30,2022,3,1405682
156,30,2022,4,132
157,31,2022,1,9169464
158,31,2022,2,4566039
159,31,2022,3,4597076
160,31,2022,4,645
161,32,2022,1,6212216
162,32,2022,2,2898583
163,32,2022,3,3310416
164,32,2022,4,373
165,33,2022,1,2823265
166,33,2022,2,1432864
167,33,2022,3,1388086
168,33,2022,4,173
169,34,2022,1,1648896
170,34,2022,2,780065
171,34,2022,3,868124
172,34,2022,4,84
173,35,2022,1,714119
174,35,2022,2,357406
175,35,2022,3,356477
176,35,2022,4,51
177,36,2022,1,1938111
178,36,2022,2,912932
179,36,2022,3,1024669
180,36,2022,4,118
181,37,2022,1,3625252
182,37,2022,2,1730561
183,37,2022,3,1893604
184,37,2022,4,198
185,38,2022,1,647587
186,38,2022,2,333015
187,38,2022,3,314205
188,38,2022,4,33
189,39,2022,1,14734025
190,39,2022,2,7883940
191,39,2022,3,6829098
192,39,2022,4,2185
193,40,2022,1,2162876
194,40,2022,2,1050193
195,40,2022,3,1112061
196,40,2022,4,151
197,41,2022,1,5263474
198,41,2022,2,2734086
199,41,2022,3,2524805
200,41,2022,4,599
201,42,2022,1,1295053
202,42,2022,2,634105
203,42,2022,3,660770
204,42,2022,4,65
205,43,2022,1,3267630
206,43,2022,2,1572370
207,43,2022,3,1694057
208,43,2022,4,225
209,44,2022,1,1293027
210,44,2022,2,615579
211,44,2022,3,677043
212,44,2022,4,79
213,45,2022,1,1558024
214,45,2022,2,751784
215,45,2022,3,805890
216,45,2022,4,107
217,46,2022,1,1625418
218,46,2022,2,788145
219,46,2022,3,836564
220,46,2022,4,93
221,47,2022,1,3909138
222,47,2022,2,2015845
223,47,2022,3,1892162
224,47,2022,4,364
225,48,2022,1,2584452
226,48,2022,2,1265578
227,48,2022,3,1317873
228,48,2022,4,178
229,49,2022,1,1189821
230,49,2022,2,581907
231,49,2022,3,607499
232,49,2022,4,95
233,50,2022,1,1294561
234,50,2022,2,621288
235,50,2022,3,672752
236,50,2022,4,87
237,51,2022,1,4037608
238,51,2022,2,1945002
239,51,2022,3,2090982
240,51,2022,4,349
241,52,2022,1,1613079
242,52,2022,2,801716
243,52,2022,3,810581
244,52,2022,4,90
245,53,2022,1,1234066
246,53,2022,2,607558
247,53,2022,3,626245
248,53,2022,4,93
249,54,2022,1,3076849
250,54,2022,2,1522763
251,54,2022,3,1549146
252,54,2022,4,195
253,55,2022,1,2005849
254,55,2022,2,995544
255,55,2022,3,1009712
256,55,2022,4,148
