event_id,district_id,event_name,event_type,start_date,end_date,displaced_persons,cause
39,1,Landslide,Disaster,2022-09-14,2022-09-30,9217,Heavy rainfall and slope instability
40,14,Flash Flood,Disaster,2023-07-03,2023-07-08,2322,Upstream rainfall and rapid water rise
41,58,Riverbank Erosion,Disaster,2022-09-06,2022-09-13,5659,Progressive riverbank erosion
42,43,Local Fire Incident,Emergency,2023-05-25,2023-06-04,6232,Dense settlement fire
43,24,Cyclone Impact,Disaster,2023-02-13,2023-02-21,15945,Cyclonic storm and storm surge
44,11,Monsoon Flood,Disaster,2023-04-20,2023-04-30,1615,Heavy monsoon rainfall and river overflow
45,9,Monsoon Flood,Disaster,2022-04-29,2022-04-30,8599,Heavy monsoon rainfall and river overflow
46,14,Riverbank Erosion,Disaster,2023-03-11,2023-03-28,4931,Progressive riverbank erosion
47,27,Monsoon Flood,Disaster,2022-06-02,2022-06-10,1892,Heavy monsoon rainfall and river overflow
48,15,Cyclone Impact,Disaster,2024-07-08,2024-07-18,14985,Cyclonic storm and storm surge
49,44,Cyclone Impact,Disaster,2023-08-27,2023-09-06,15305,Cyclonic storm and storm surge
50,55,Landslide,Disaster,2023-06-20,2023-07-06,12717,Heavy rainfall and slope instability
51,18,Monsoon Flood,Disaster,2023-07-11,2023-07-22,8140,Heavy monsoon rainfall and river overflow
52,40,Monsoon Flood,Disaster,2025-04-27,2025-05-08,2482,Heavy monsoon rainfall and river overflow
53,31,Monsoon Flood,Disaster,2025-12-01,2025-12-08,5913,Heavy monsoon rainfall and river overflow
54,58,Riverbank Erosion,Disaster,2024-09-19,2024-09-26,4640,Progressive riverbank erosion
55,37,Landslide,Disaster,2022-03-01,,9568,Heavy rainfall and slope instability
56,63,Landslide,Disaster,2023-04-25,2023-05-12,5995,Heavy rainfall and slope instability
57,8,Landslide,Disaster,2024-05-07,2024-05-24,16630,Heavy rainfall and slope instability
58,48,Landslide,Disaster,2022-10-26,2022-11-13,16805,Heavy rainfall and slope instability
59,46,Landslide,Disaster,2022-02-06,2022-02-20,2018,Heavy rainfall and slope instability
60,49,Flash Flood,Disaster,2023-02-16,2023-02-18,16320,Upstream rainfall and rapid water rise
61,51,Landslide,Disaster,2024-06-03,2024-06-17,14668,Heavy rainfall and slope instability
62,56,Monsoon Flood,Disaster,2025-02-27,2025-03-07,3606,Heavy monsoon rainfall and river overflow
63,60,Landslide,Disaster,2022-04-24,2022-05-02,8800,Heavy rainfall and slope instability
64,32,Cyclone Impact,Disaster,2024-12-30,2025-01-03,7958,Cyclonic storm and storm surge
65,41,Flash Flood,Disaster,2022-07-29,2022-08-12,3010,Upstream rainfall and rapid water rise
66,13,Monsoon Flood,Disaster,2023-11-01,2023-11-19,7654,Heavy monsoon rainfall and river overflow
67,5,Flash Flood,Disaster,2022-01-07,2022-01-16,17576,Upstream rainfall and rapid water rise
68,28,Landslide,Disaster,2024-02-29,2024-03-07,10423,Heavy rainfall and slope instability
69,14,Flash Flood,Disaster,2023-04-27,2023-05-08,14491,Upstream rainfall and rapid water rise
70,52,Flash Flood,Disaster,2025-03-24,2025-04-07,6168,Upstream rainfall and rapid water rise
71,41,Monsoon Flood,Disaster,2022-04-06,2022-04-10,15264,Heavy monsoon rainfall and river overflow
72,5,Monsoon Flood,Disaster,2022-04-11,2022-04-23,14105,Heavy monsoon rainfall and river overflow
73,2,Cyclone Impact,Disaster,2024-05-02,2024-05-12,9702,Cyclonic storm and storm surge
74,35,Cyclone Impact,Disaster,2023-12-03,2023-12-15,12694,Cyclonic storm and storm surge
75,14,Monsoon Flood,Disaster,2022-10-01,2022-10-04,13081,Heavy monsoon rainfall and river overflow
76,25,Riverbank Erosion,Disaster,2022-08-17,2022-09-01,3679,Progressive riverbank erosion
77,20,Flash Flood,Disaster,2023-01-10,2023-01-23,17997,Upstream rainfall and rapid water rise
78,41,Local Fire Incident,Emergency,2024-07-27,2024-08-09,9377,Dense settlement fire
79,23,Riverbank Erosion,Disaster,2024-04-15,2024-04-21,17787,Progressive riverbank erosion
80,40,Landslide,Disaster,2023-04-19,2023-04-30,9315,Heavy rainfall and slope instability
81,63,Riverbank Erosion,Disaster,2025-08-05,2025-08-16,14684,Progressive riverbank erosion
82,23,Cyclone Impact,Disaster,2022-01-19,2022-01-25,4359,Cyclonic storm and storm surge
83,17,Local Fire Incident,Emergency,2022-03-05,2022-03-19,2321,Dense settlement fire
84,45,Landslide,Disaster,2022-12-20,2023-01-07,4469,Heavy rainfall and slope instability
85,5,Flash Flood,Disaster,2024-02-25,2024-03-10,6729,Upstream rainfall and rapid water rise
86,10,Landslide,Disaster,2025-11-07,2025-11-22,17273,Heavy rainfall and slope instability
87,10,Cyclone Impact,Disaster,2023-10-15,2023-10-25,410,Cyclonic storm and storm surge
88,34,Cyclone Impact,Disaster,2024-04-14,2024-04-21,1371,Cyclonic storm and storm surge
89,40,Landslide,Disaster,2024-07-30,2024-08-10,5153,Heavy rainfall and slope instability
90,1,Flash Flood,Disaster,2023-02-12,2023-02-23,3430,Upstream rainfall and rapid water rise
91,35,Cyclone Impact,Disaster,2025-11-09,2025-11-14,5167,Cyclonic storm and storm surge
92,35,Monsoon Flood,Disaster,2023-06-12,2023-06-26,17456,Heavy monsoon rainfall and river overflow
93,12,Riverbank Erosion,Disaster,2022-01-10,2022-01-12,8785,Progressive riverbank erosion
94,60,Landslide,Disaster,2022-01-28,2022-01-29,12992,Heavy rainfall and slope instability
95,14,Cyclone Impact,Disaster,2024-02-20,2024-03-05,16507,Cyclonic storm and storm surge
96,31,Landslide,Disaster,2024-01-16,2024-01-22,14047,Heavy rainfall and slope instability
97,15,Local Fire Incident,Emergency,2024-07-25,2024-08-05,7105,Dense settlement fire
98,58,Flash Flood,Disaster,2023-10-26,2023-11-12,3909,Upstream rainfall and rapid water rise
99,32,Flash Flood,Disaster,2023-03-07,2023-03-09,14972,Upstream rainfall and rapid water rise
100,9,Riverbank Erosion,Disaster,2024-04-03,2024-04-10,13763,Progressive riverbank erosion
101,27,Monsoon Flood,Disaster,2022-08-02,2022-08-11,12924,Heavy monsoon rainfall and river overflow
102,64,Monsoon Flood,Disaster,2024-12-14,2024-12-31,9412,Heavy monsoon rainfall and river overflow
103,12,Flash Flood,Disaster,2023-12-15,2023-12-28,7003,Upstream rainfall and rapid water rise
104,27,Flash Flood,Disaster,2023-06-29,2023-07-17,5407,Upstream rainfall and rapid water rise
105,16,Local Fire Incident,Emergency,2023-12-06,2023-12-07,11218,Dense settlement fire
106,16,Landslide,Disaster,2024-05-16,2024-05-26,12562,Heavy rainfall and slope instability
107,18,Riverbank Erosion,Disaster,2025-06-16,2025-06-26,977,Progressive riverbank erosion
108,51,Local Fire Incident,Emergency,2024-12-12,2024-12-13,8803,Dense settlement fire
109,29,Monsoon Flood,Disaster,2024-09-05,2024-09-18,12040,Heavy monsoon rainfall and river overflow
110,23,Riverbank Erosion,Disaster,2024-07-26,2024-08-02,7911,Progressive riverbank erosion
111,42,Cyclone Impact,Disaster,2022-03-11,2022-03-20,9641,Cyclonic storm and storm surge
112,12,Landslide,Disaster,2024-09-23,2024-10-06,9262,Heavy rainfall and slope instability
113,17,Landslide,Disaster,2025-11-22,2025-11-23,15118,Heavy rainfall and slope instability
114,26,Landslide,Disaster,2024-11-06,2024-11-23,8437,Heavy rainfall and slope instability
115,28,Local Fire Incident,Emergency,2024-01-15,2024-01-31,3195,Dense settlement fire
116,39,Local Fire Incident,Emergency,2022-09-13,2022-09-18,6781,Dense settlement fire
117,4,Landslide,Disaster,2025-03-25,2025-03-30,10893,Heavy rainfall and slope instability
118,15,Monsoon Flood,Disaster,2022-08-25,2022-09-11,6547,Heavy monsoon rainfall and river overflow
119,8,Cyclone Impact,Disaster,2025-05-18,2025-05-19,6099,Cyclonic storm and storm surge
120,37,Cyclone Impact,Disaster,2024-01-20,2024-02-04,3922,Cyclonic storm and storm surge
121,4,Local Fire Incident,Emergency,2022-02-07,2022-02-13,11549,Dense settlement fire
122,29,Riverbank Erosion,Disaster,2024-11-06,2024-11-15,14528,Progressive riverbank erosion
123,44,Flash Flood,Disaster,2025-08-31,2025-09-10,8560,Upstream rainfall and rapid water rise
124,2,Local Fire Incident,Emergency,2022-07-27,2022-08-08,407,Dense settlement fire
125,57,Landslide,Disaster,2024-08-14,2024-09-01,6273,Heavy rainfall and slope instability
126,30,Local Fire Incident,Emergency,2022-04-25,2022-05-12,15934,Dense settlement fire
127,13,Flash Flood,Disaster,2023-09-13,2023-09-30,695,Upstream rainfall and rapid water rise
128,59,Riverbank Erosion,Disaster,2023-09-09,2023-09-18,9954,Progressive riverbank erosion
129,50,Flash Flood,Disaster,2025-08-12,2025-08-23,12612,Upstream rainfall and rapid water rise
130,8,Monsoon Flood,Disaster,2024-04-12,2024-04-28,9529,Heavy monsoon rainfall and river overflow
131,25,Flash Flood,Disaster,2022-10-03,2022-10-12,944,Upstream rainfall and rapid water rise
132,33,Monsoon Flood,Disaster,2024-10-23,2024-11-01,10216,Heavy monsoon rainfall and river overflow
133,43,Flash Flood,Disaster,2025-08-02,2025-08-13,375,Upstream rainfall and rapid water rise
134,26,Monsoon Flood,Disaster,2025-11-08,2025-11-11,9146,Heavy monsoon rainfall and river overflow
135,47,Monsoon Flood,Disaster,2023-09-29,2023-10-15,278,Heavy monsoon rainfall and river overflow
136,18,Landslide,Disaster,2024-04-23,2024-05-03,728,Heavy rainfall and slope instability
137,57,Riverbank Erosion,Disaster,2022-11-13,2022-11-18,11076,Progressive riverbank erosion
138,62,Flash Flood,Disaster,2025-07-12,2025-07-26,14775,Upstream rainfall and rapid water rise
139,24,Local Fire Incident,Emergency,2022-01-27,2022-02-01,1266,Dense settlement fire
140,60,Monsoon Flood,Disaster,2022-03-06,2022-03-17,8215,Heavy monsoon rainfall and river overflow
141,29,Local Fire Incident,Emergency,2025-09-01,2025-09-09,12582,Dense settlement fire
142,18,Landslide,Disaster,2022-07-09,2022-07-11,16781,Heavy rainfall and slope instability
143,25,Riverbank Erosion,Disaster,2025-08-01,2025-08-12,10126,Progressive riverbank erosion
144,5,Riverbank Erosion,Disaster,2024-07-28,2024-08-03,17111,Progressive riverbank erosion
145,37,Monsoon Flood,Disaster,2025-06-16,2025-06-27,12293,Heavy monsoon rainfall and river overflow
146,57,Cyclone Impact,Disaster,2023-11-08,2023-11-14,4090,Cyclonic storm and storm surge
147,42,Riverbank Erosion,Disaster,2024-12-01,2024-12-07,7703,Progressive riverbank erosion
148,15,Flash Flood,Disaster,2023-08-04,2023-08-18,2061,Upstream rainfall and rapid water rise
149,61,Landslide,Disaster,2022-03-27,2022-04-03,789,Heavy rainfall and slope instability
150,3,Flash Flood,Disaster,2022-10-07,2022-10-25,10394,Upstream rainfall and rapid water rise
151,4,Flash Flood,Disaster,2024-08-10,2024-08-13,5180,Upstream rainfall and rapid water rise
152,1,Monsoon Flood,Disaster,2025-01-14,2025-01-23,2545,Heavy monsoon rainfall and river overflow
153,54,Riverbank Erosion,Disaster,2024-11-26,2024-12-05,11913,Progressive riverbank erosion
154,50,Local Fire Incident,Emergency,2025-05-31,2025-06-08,7323,Dense settlement fire
155,59,Riverbank Erosion,Disaster,2024-10-19,2024-11-02,14181,Progressive riverbank erosion
156,3,Riverbank Erosion,Disaster,2024-07-10,2024-07-27,10410,Progressive riverbank erosion
157,36,Monsoon Flood,Disaster,2025-09-02,2025-09-06,3179,Heavy monsoon rainfall and river overflow
158,2,Monsoon Flood,Disaster,2023-02-10,2023-02-12,14086,Heavy monsoon rainfall and river overflow
159,42,Cyclone Impact,Disaster,2022-03-06,2022-03-09,3609,Cyclonic storm and storm surge
160,30,Cyclone Impact,Disaster,2024-08-24,2024-09-06,55,Cyclonic storm and storm surge
161,34,Flash Flood,Disaster,2024-07-08,2024-07-22,12501,Upstream rainfall and rapid water rise
162,49,Local Fire Incident,Emergency,2022-05-24,2022-06-01,13400,Dense settlement fire
163,11,Flash Flood,Disaster,2023-06-03,2023-06-09,1288,Upstream rainfall and rapid water rise
164,16,Cyclone Impact,Disaster,2023-02-16,2023-03-03,2296,Cyclonic storm and storm surge
165,28,Riverbank Erosion,Disaster,2023-06-16,2023-06-27,5432,Progressive riverbank erosion
166,49,Local Fire Incident,Emergency,2024-03-10,2024-03-20,7271,Dense settlement fire
167,11,Riverbank Erosion,Disaster,2025-02-16,2025-02-19,12339,Progressive riverbank erosion
168,7,Riverbank Erosion,Disaster,2025-05-08,2025-05-13,14797,Progressive riverbank erosion
169,8,Flash Flood,Disaster,2024-10-30,2024-11-02,13911,Upstream rainfall and rapid water rise
170,25,Landslide,Disaster,2025-10-29,2025-11-15,5349,Heavy rainfall and slope instability
171,15,Riverbank Erosion,Disaster,2022-10-17,2022-10-21,1649,Progressive riverbank erosion
172,53,Cyclone Impact,Disaster,2024-11-02,2024-11-13,686,Cyclonic storm and storm surge
173,47,Cyclone Impact,Disaster,2025-08-12,2025-08-23,3733,Cyclonic storm and storm surge
174,22,Cyclone Impact,Disaster,2022-06-22,2022-06-24,9645,Cyclonic storm and storm surge
175,16,Cyclone Impact,Disaster,2023-10-23,2023-11-03,13116,Cyclonic storm and storm surge
176,39,Riverbank Erosion,Disaster,2023-06-15,2023-06-30,16570,Progressive riverbank erosion
177,45,Cyclone Impact,Disaster,2024-03-13,2024-03-28,2433,Cyclonic storm and storm surge
178,19,Riverbank Erosion,Disaster,2024-03-02,2024-03-07,9579,Progressive riverbank erosion
179,53,Riverbank Erosion,Disaster,2025-01-03,2025-01-20,2427,Progressive riverbank erosion
180,14,Local Fire Incident,Emergency,2024-04-01,2024-04-09,12940,Dense settlement fire
181,36,Local Fire Incident,Emergency,2023-10-17,2023-10-28,16698,Dense settlement fire
182,34,Cyclone Impact,Disaster,2024-09-15,2024-09-27,2829,Cyclonic storm and storm surge
183,19,Landslide,Disaster,2025-02-07,2025-02-20,7315,Heavy rainfall and slope instability
184,50,Riverbank Erosion,Disaster,2025-04-14,2025-04-19,8229,Progressive riverbank erosion
185,52,Flash Flood,Disaster,2022-11-21,2022-11-27,4262,Upstream rainfall and rapid water rise
186,4,Cyclone Impact,Disaster,2024-07-11,2024-07-17,4019,Cyclonic storm and storm surge
187,32,Monsoon Flood,Disaster,2025-06-09,2025-06-10,16273,Heavy monsoon rainfall and river overflow
188,44,Monsoon Flood,Disaster,2024-12-31,2025-01-17,5185,Heavy monsoon rainfall and river overflow
189,3,Riverbank Erosion,Disaster,2022-04-30,2022-05-17,4377,Progressive riverbank erosion
190,47,Landslide,Disaster,2022-02-03,2022-02-17,8096,Heavy rainfall and slope instability
191,51,Landslide,Disaster,2024-04-25,2024-05-08,1253,Heavy rainfall and slope instability
192,34,Landslide,Disaster,2024-11-03,2024-11-17,5350,Heavy rainfall and slope instability
193,56,Monsoon Flood,Disaster,2024-01-15,2024-01-29,1417,Heavy monsoon rainfall and river overflow
194,48,Riverbank Erosion,Disaster,2023-09-24,2023-10-11,9650,Progressive riverbank erosion
195,15,Flash Flood,Disaster,2022-04-20,2022-04-24,14644,Upstream rainfall and rapid water rise
196,37,Flash Flood,Disaster,2022-04-13,2022-04-28,16532,Upstream rainfall and rapid water rise
197,22,Local Fire Incident,Emergency,2023-06-29,2023-07-12,10320,Dense settlement fire
198,35,Landslide,Disaster,2025-12-07,2025-12-19,14865,Heavy rainfall and slope instability
199,15,Riverbank Erosion,Disaster,2022-04-30,2022-05-05,15247,Progressive riverbank erosion
200,1,Landslide,Disaster,2024-12-04,2024-12-15,5904,Heavy rainfall and slope instability
201,46,Monsoon Flood,Disaster,2024-10-19,2024-10-26,13197,Heavy monsoon rainfall and river overflow
202,1,Monsoon Flood,Disaster,2023-08-25,2023-09-10,16229,Heavy monsoon rainfall and river overflow
203,4,Monsoon Flood,Disaster,2025-08-29,2025-09-08,17690,Heavy monsoon rainfall and river overflow
204,5,Landslide,Disaster,2025-03-13,2025-03-15,13486,Heavy rainfall and slope instability
205,41,Landslide,Disaster,2025-10-07,2025-10-16,14503,Heavy rainfall and slope instability
206,2,Riverbank Erosion,Disaster,2025-02-08,2025-02-22,4862,Progressive riverbank erosion
207,52,Riverbank Erosion,Disaster,2024-04-05,2024-04-17,3913,Progressive riverbank erosion
208,38,Riverbank Erosion,Disaster,2022-11-06,2022-11-18,9575,Progressive riverbank erosion
209,61,Monsoon Flood,Disaster,2022-09-28,2022-10-02,3529,Heavy monsoon rainfall and river overflow
210,54,Riverbank Erosion,Disaster,2022-03-30,2022-04-08,1857,Progressive riverbank erosion
211,2,Cyclone Impact,Disaster,2024-05-14,2024-05-29,15674,Cyclonic storm and storm surge
212,13,Monsoon Flood,Disaster,2025-05-18,2025-05-27,12787,Heavy monsoon rainfall and river overflow
213,15,Local Fire Incident,Emergency,2023-04-23,2023-04-26,6902,Dense settlement fire
214,5,Flash Flood,Disaster,2025-07-30,2025-08-03,9592,Upstream rainfall and rapid water rise
215,42,Cyclone Impact,Disaster,2022-10-03,2022-10-07,3934,Cyclonic storm and storm surge
216,16,Local Fire Incident,Emergency,2024-12-04,2024-12-07,17896,Dense settlement fire
217,60,Landslide,Disaster,2024-09-29,2024-10-14,11695,Heavy rainfall and slope instability
218,58,Flash Flood,Disaster,2023-10-25,2023-11-07,17743,Upstream rainfall and rapid water rise
219,59,Cyclone Impact,Disaster,2024-09-07,2024-09-25,1180,Cyclonic storm and storm surge
220,13,Landslide,Disaster,2025-03-26,2025-04-06,12594,Heavy rainfall and slope instability
221,22,Cyclone Impact,Disaster,2024-06-11,2024-06-18,7795,Cyclonic storm and storm surge
222,14,Riverbank Erosion,Disaster,2022-09-07,2022-09-15,17214,Progressive riverbank erosion
223,44,Local Fire Incident,Emergency,2023-03-14,2023-03-20,2429,Dense settlement fire
224,1,Cyclone Impact,Disaster,2024-10-18,2024-10-30,2245,Cyclonic storm and storm surge
225,41,Landslide,Disaster,2025-07-28,2025-08-07,3873,Heavy rainfall and slope instability
226,14,Local Fire Incident,Emergency,2023-07-18,2023-07-28,16789,Dense settlement fire
227,29,Cyclone Impact,Disaster,2022-01-11,2022-01-25,1695,Cyclonic storm and storm surge
228,7,Local Fire Incident,Emergency,2023-02-15,2023-02-22,9615,Dense settlement fire
229,48,Local Fire Incident,Emergency,2022-02-01,2022-02-14,9831,Dense settlement fire
230,37,Cyclone Impact,Disaster,2025-09-25,2025-10-08,14212,Cyclonic storm and storm surge
231,31,Local Fire Incident,Emergency,2024-06-14,2024-06-18,5910,Dense settlement fire
232,56,Landslide,Disaster,2023-08-17,2023-08-25,16925,Heavy rainfall and slope instability
233,20,Local Fire Incident,Emergency,2023-02-19,2023-03-03,12726,Dense settlement fire
234,4,Riverbank Erosion,Disaster,2023-06-18,2023-06-28,8958,Progressive riverbank erosion
235,40,Monsoon Flood,Disaster,2024-08-31,2024-09-07,14691,Heavy monsoon rainfall and river overflow
236,16,Riverbank Erosion,Disaster,2025-10-18,2025-10-24,1920,Progressive riverbank erosion
237,22,Flash Flood,Disaster,2025-02-17,2025-03-06,12807,Upstream rainfall and rapid water rise
238,39,Cyclone Impact,Disaster,2023-02-28,2023-03-02,4386,Cyclonic storm and storm surge
239,64,Riverbank Erosion,Disaster,2023-11-10,2023-11-17,13112,Progressive riverbank erosion
240,7,Flash Flood,Disaster,2023-03-09,2023-03-11,13857,Upstream rainfall and rapid water rise
241,38,Local Fire Incident,Emergency,2023-12-10,2023-12-28,15894,Dense settlement fire
242,27,Local Fire Incident,Emergency,2025-10-29,2025-11-03,9208,Dense settlement fire
243,20,Cyclone Impact,Disaster,2024-11-22,2024-11-29,15860,Cyclonic storm and storm surge
244,15,Flash Flood,Disaster,2025-03-28,2025-04-14,4788,Upstream rainfall and rapid water rise
245,18,Cyclone Impact,Disaster,2022-06-02,2022-06-19,3347,Cyclonic storm and storm surge
246,7,Local Fire Incident,Emergency,2025-10-02,2025-10-13,9893,Dense settlement fire
247,50,Monsoon Flood,Disaster,2022-12-06,2022-12-16,,Heavy monsoon rainfall and river overflow
248,47,Local Fire Incident,Emergency,2023-10-09,2023-10-20,2591,Dense settlement fire
249,10,Flash Flood,Disaster,2025-05-19,2025-05-26,6832,Upstream rainfall and rapid water rise
250,13,Cyclone Impact,Disaster,2022-02-21,2022-03-10,11944,Cyclonic storm and storm surge
